,ID,age,height_cm,weight_kg,overall,pac,sho,pas,dri,def,phy,skill_moves,weak_foot,work_rate_att,work_rate_def
417,176635,28,180,76,88,71,74,87,86,24,58,4,2,Medium,Low
23,177358,27,185,75,83,68,62,76,77,79,81,2,3,Medium,High
121,177578,30,196,97,79,37,36,50,40,80,81,2,2,Medium,Medium
415,177604,31,179,72,80,76,53,72,75,80,74,2,3,High,Medium
438,177922,29,180,78,76,85,72,72,76,34,61,3,3,Medium,Low
389,178091,27,186,90,77,73,74,57,72,27,83,2,3,High,High
403,178213,28,190,87,76,58,70,70,73,74,76,2,3,Medium,Medium
190,178287,28,178,70,73,69,68,72,74,63,68,3,3,High,High
36,178509,30,192,88,82,53,81,70,73,38,83,2,3,Medium,Medium
0,178567,28,183,84,75,66,40,65,67,78,78,2,2,Medium,Medium
318,179527,30,185,80,77,76,76,65,73,33,69,4,3,Medium,Medium
405,179547,29,188,80,74,74,72,71,75,60,71,1,3,Medium,Medium
272,179592,31,186,79,72,66,70,70,74,59,70,4,4,High,High
227,179613,29,183,90,72,74,71,69,74,39,76,3,3,High,Medium
145,179746,27,188,90,76,58,77,64,71,43,83,2,3,High,Medium
293,179844,28,186,87,86,75,83,65,76,40,88,3,4,High,Medium
46,179944,30,189,84,86,70,64,74,71,84,81,3,3,Medium,Medium
148,180216,28,177,67,81,73,66,72,78,80,77,3,3,High,High
428,180283,28,186,79,78,65,74,81,75,63,70,3,4,Medium,High
173,180403,28,175,77,84,88,76,81,86,49,64,4,4,High,High
95,180706,28,190,83,73,56,37,54,54,74,73,2,3,Medium,Medium
215,180819,29,172,73,83,73,75,80,84,65,74,4,5,High,High
166,181291,26,175,69,82,81,75,76,84,66,74,3,3,High,High
263,182168,29,195,81,76,43,32,57,58,78,75,2,3,Medium,Medium
257,182495,30,180,78,77,74,51,63,64,79,75,2,3,Medium,High
126,182744,33,185,81,78,80,67,70,74,76,82,3,2,High,Medium
334,182945,29,177,70,77,85,73,71,80,44,60,4,3,Medium,Medium
265,183108,30,181,84,79,81,75,76,82,57,72,4,2,High,Medium
448,183125,29,183,90,78,65,81,65,69,35,85,3,3,High,Medium
155,183130,27,175,74,77,79,69,74,77,47,70,3,3,High,High
421,183277,26,173,76,90,90,82,84,92,32,66,4,4,High,Medium
382,183285,27,187,83,81,61,33,62,56,80,85,2,2,Medium,High
340,183288,30,185,86,75,64,39,57,54,75,79,2,3,Medium,High
164,183385,31,178,81,70,69,68,67,68,63,80,3,4,Medium,High
252,183427,27,174,60,77,74,69,73,82,68,75,3,3,High,High
418,183465,26,188,71,73,63,68,71,72,73,74,3,4,Medium,Medium
288,183711,27,182,67,82,72,70,83,76,76,81,3,3,High,High
259,183916,28,173,69,73,71,68,74,75,72,73,3,3,High,High
250,184037,27,191,77,73,58,44,61,62,74,76,3,3,Medium,Medium
220,184082,28,186,83,75,59,38,53,53,74,82,2,2,Medium,Medium
377,184111,26,190,83,80,73,78,65,73,33,80,3,4,Medium,Low
110,184134,29,183,76,78,64,61,68,68,79,82,2,2,Medium,High
201,184200,28,192,83,82,77,74,79,81,53,81,4,4,Medium,Medium
281,184432,27,178,78,85,79,55,75,74,86,78,3,3,Medium,Medium
103,184469,27,176,70,77,67,72,74,74,67,77,3,5,High,High
165,184472,29,178,81,75,82,62,67,71,73,76,3,2,High,Medium
298,184484,27,186,77,82,66,81,84,79,52,70,3,3,High,Medium
120,184716,27,168,62,77,62,63,73,77,70,70,3,3,Medium,Medium
236,184749,27,183,79,73,62,68,70,68,67,71,3,3,Medium,Medium
114,184941,28,169,62,89,86,84,80,89,40,78,4,3,High,High
91,185103,31,187,83,79,66,69,78,75,79,78,2,3,High,Medium
104,185422,25,180,74,77,90,77,60,76,29,70,3,3,Medium,Medium
332,186115,27,179,70,78,79,55,70,74,77,72,3,2,High,Medium
242,186132,27,177,70,79,68,67,76,77,74,77,3,4,Medium,Medium
149,186146,26,185,73,80,84,74,71,79,37,78,3,3,High,High
370,186148,28,188,83,79,74,80,70,81,48,77,1,2,Medium,Medium
380,186190,26,176,67,75,86,63,67,74,70,72,3,2,High,Medium
132,186200,26,180,74,76,77,74,70,76,28,69,3,3,High,Medium
369,186351,27,188,90,77,71,75,72,75,70,81,3,4,Medium,Low
246,186385,28,175,75,74,68,63,72,70,68,72,2,3,Low,High
34,186392,27,188,83,74,65,54,65,65,76,75,2,3,Medium,Medium
19,186521,27,192,84,76,54,44,59,49,75,77,2,3,Medium,High
167,186537,30,184,72,77,69,75,67,71,46,79,3,3,Medium,Low
363,186561,26,183,76,82,68,75,79,81,65,75,3,3,High,High
234,186578,28,184,79,72,64,71,68,70,68,71,2,3,High,Medium
112,186598,28,180,73,75,74,52,65,67,74,70,3,3,High,Medium
435,186672,31,191,84,76,63,56,67,68,78,77,2,3,Medium,Medium
267,186805,27,172,74,78,90,68,73,82,31,65,4,3,High,High
324,186905,27,186,76,74,67,73,63,73,42,81,2,4,High,Medium
69,186942,26,180,80,85,71,74,83,87,64,71,4,4,High,Medium
7,187084,29,185,79,77,83,75,61,68,65,81,3,3,Medium,Medium
127,187489,28,191,81,70,60,66,65,69,69,81,2,3,Medium,High
322,187942,28,193,86,73,67,71,50,65,34,81,2,3,Medium,Medium
217,188107,27,180,75,69,78,67,45,67,28,77,2,3,Medium,Medium
439,188155,27,185,80,77,74,63,70,74,74,81,3,3,High,Medium
343,188168,29,188,83,73,72,56,63,71,73,78,2,3,High,High
102,188253,26,180,72,80,70,60,75,74,77,81,3,4,Medium,High
276,188278,26,189,84,68,70,65,64,73,48,67,1,2,Medium,Medium
251,188484,26,185,73,75,83,72,58,74,29,71,3,3,Medium,Low
26,188879,27,187,82,78,72,54,64,67,76,86,2,3,Medium,High
222,189067,31,190,85,75,50,34,50,52,76,74,2,3,Medium,Medium
186,189157,28,188,84,78,87,68,68,84,31,78,5,4,High,High
260,189242,25,171,71,86,82,78,83,88,35,64,4,4,High,High
72,189271,26,178,74,79,66,52,67,75,78,80,3,3,Medium,High
85,189280,27,170,67,73,65,53,76,71,63,66,2,3,Medium,Medium
231,189324,27,193,79,75,76,73,61,78,57,74,1,2,Medium,Medium
38,189446,27,183,76,73,80,68,71,73,32,56,4,3,High,Medium
77,189461,25,172,68,81,71,69,80,82,62,72,3,2,Medium,Medium
407,189505,29,169,65,84,82,77,77,85,37,62,4,5,High,Medium
268,189680,26,172,65,72,80,56,68,72,70,66,3,4,High,Medium
423,189682,27,180,74,78,66,37,58,65,77,82,2,3,Medium,High
89,189725,27,175,67,76,67,69,75,75,58,65,3,3,Medium,Medium
53,189963,28,182,88,79,66,80,59,72,39,81,3,4,Medium,Low
199,190324,26,188,84,75,73,50,49,62,74,79,2,3,Medium,High
108,190456,26,175,67,82,83,61,71,77,80,76,3,2,High,Medium
14,190549,24,187,80,71,64,70,67,70,65,78,3,2,High,Medium
238,190683,26,175,68,75,68,68,75,73,69,69,3,3,High,Medium
179,190824,25,179,73,75,83,55,71,76,70,71,3,3,High,Medium
449,190885,26,180,78,73,76,55,69,73,71,69,3,3,High,Medium
378,191005,29,182,78,72,77,64,72,72,66,74,3,3,Medium,Medium
361,191076,26,178,77,73,78,72,69,76,49,72,3,4,High,Medium
402,191089,24,191,90,72,66,72,61,66,27,76,2,3,High,Medium
270,191202,28,194,85,84,64,70,77,72,80,87,3,3,Medium,High
301,191648,28,189,78,75,62,41,51,61,76,75,2,4,Medium,High
196,192119,25,199,94,89,85,91,69,88,49,86,1,3,Medium,Medium
74,192129,28,190,85,73,73,66,66,78,53,74,1,2,Medium,Medium
325,192227,25,184,82,84,67,57,63,62,83,79,2,3,Medium,High
291,192362,26,177,77,75,91,65,67,76,24,58,4,3,Medium,Low
337,192366,29,183,81,83,63,56,59,54,83,81,2,3,High,High
182,192505,24,190,94,86,83,85,70,74,34,84,3,4,Medium,Medium
61,192613,30,203,110,76,73,76,67,77,45,78,1,2,Medium,Medium
266,192638,26,188,84,81,77,69,77,77,77,80,3,3,High,High
287,192766,25,179,72,76,58,43,65,66,76,72,2,3,Medium,Medium
219,192985,26,181,68,89,75,84,88,85,45,75,4,4,High,High
357,193011,26,185,82,77,56,27,52,60,77,77,2,3,Medium,High
208,193061,26,182,77,80,78,68,80,81,66,68,4,4,High,High
181,193348,25,169,72,82,83,77,78,85,46,65,4,4,High,Medium
56,193474,27,174,66,83,76,60,70,77,83,81,2,3,Medium,High
261,193475,27,178,66,73,74,51,70,72,71,74,2,2,High,Medium
310,193884,26,188,74,72,71,67,71,72,63,70,3,4,High,High
349,193910,25,185,71,72,66,63,73,76,54,61,3,3,Medium,Medium
134,194138,26,180,78,77,89,76,62,72,29,78,3,3,High,Medium
213,194146,26,187,82,70,63,35,43,52,70,76,2,2,Low,Medium
455,194334,26,190,84,72,64,37,52,60,73,72,2,3,Medium,Medium
218,194365,31,173,78,77,74,74,69,78,47,75,3,4,High,High
230,194845,26,182,76,78,76,79,76,79,43,68,3,4,High,Medium
147,194932,25,181,73,78,85,75,73,80,33,63,3,4,High,Medium
233,194996,24,191,82,78,62,78,59,71,29,75,2,4,Medium,Low
6,195086,27,188,84,81,56,40,59,63,81,82,2,4,Medium,High
197,195668,27,195,90,74,78,69,75,77,51,72,1,2,Medium,Medium
294,195671,27,188,84,78,65,79,56,68,40,76,2,2,High,Medium
123,195859,24,178,73,76,82,74,64,77,35,71,3,3,High,High
434,196932,24,191,74,71,66,69,58,65,28,69,3,3,Medium,Medium
37,196978,25,180,66,75,90,73,63,74,34,76,3,3,High,Medium
81,197061,25,195,90,83,67,46,68,66,84,78,2,2,Medium,Medium
297,197681,24,186,77,77,72,61,73,80,62,72,3,2,High,Medium
48,197756,25,182,81,76,76,74,70,79,37,74,4,3,Medium,Low
299,197932,26,180,80,65,85,61,50,63,33,68,2,4,High,Medium
221,198198,25,185,83,77,68,48,53,57,76,76,2,3,Low,High
274,198335,27,172,65,72,75,61,67,75,69,68,3,3,High,Medium
28,198511,26,195,90,71,73,67,68,73,34,70,1,2,Medium,Medium
390,198683,25,186,81,79,74,81,71,78,25,70,3,3,High,Low
330,198717,24,180,66,81,90,71,71,86,33,72,4,3,High,Medium
205,198719,23,173,69,77,87,69,70,82,24,52,4,3,High,Medium
100,198784,23,175,70,80,88,70,74,84,52,71,4,4,High,Medium
43,198861,25,168,68,76,71,55,71,74,73,76,3,3,Medium,Medium
175,199189,23,189,76,81,77,73,77,82,55,77,3,5,Medium,Medium
425,199286,26,168,75,74,78,59,69,73,71,75,2,2,High,Medium
62,199354,28,180,73,81,81,82,76,80,31,71,4,4,High,Medium
247,199422,26,169,66,77,63,66,76,75,66,73,2,4,Medium,High
329,199434,28,181,76,80,70,67,80,83,37,63,4,2,Medium,Low
29,199503,24,185,82,82,50,66,79,72,72,78,3,2,Medium,Medium
444,199550,25,185,76,79,57,42,59,57,79,81,2,3,Medium,High
300,199561,30,175,72,79,72,78,76,80,39,67,4,3,High,Low
150,199576,25,183,83,79,57,39,65,64,78,85,2,3,Medium,High
240,199633,28,180,78,76,75,60,69,73,74,77,2,3,High,High
328,199667,26,186,78,77,68,49,61,65,76,78,2,3,Medium,Medium
59,199812,25,189,80,65,65,59,65,69,42,61,1,3,Medium,Medium
8,200309,25,187,77,70,90,48,59,68,63,76,3,2,High,Medium
57,200408,24,185,78,74,64,26,45,47,76,72,2,3,Medium,Medium
210,200478,25,185,79,75,72,68,74,75,70,78,3,3,Medium,Medium
360,200759,24,178,72,72,87,61,62,74,67,77,2,2,High,Medium
410,200765,24,180,80,76,68,50,64,74,76,76,2,3,Medium,High
306,200841,25,185,77,73,70,50,66,67,72,73,2,2,High,High
183,201118,25,172,67,79,82,67,72,76,76,72,2,4,High,Medium
31,201305,26,187,79,79,67,49,65,63,81,76,2,2,Low,High
163,201508,26,183,77,78,71,75,76,80,39,62,4,3,Medium,Low
99,201818,24,171,66,75,93,75,62,78,28,57,4,3,High,Medium
83,201884,25,175,69,76,81,71,75,76,65,69,3,4,High,Medium
355,201911,24,187,72,67,73,66,55,68,34,61,3,3,Medium,Medium
125,201942,25,181,76,83,77,81,79,85,46,77,4,4,High,High
27,201988,28,189,83,79,48,28,51,50,81,76,2,2,Medium,High
404,201999,24,181,79,70,65,39,59,69,72,72,2,3,Medium,Medium
9,202052,24,183,78,74,80,73,60,71,26,72,3,3,High,Medium
249,202113,23,177,72,72,87,60,63,71,70,75,3,4,High,Medium
206,202491,25,178,66,73,66,58,74,70,52,51,3,2,Medium,Medium
15,202652,22,170,69,82,93,71,74,85,46,61,4,3,High,Medium
68,202695,24,191,81,76,64,43,61,64,75,79,2,4,Medium,Medium
352,202697,23,185,75,71,61,41,55,62,72,69,2,3,Medium,Medium
436,202811,24,193,85,70,71,68,73,72,58,67,1,3,Medium,Medium
162,203042,24,196,95,81,81,83,72,85,41,78,1,3,Medium,Medium
176,203263,24,194,100,77,46,37,56,61,77,82,2,3,High,High
133,203331,24,178,72,67,87,51,58,69,33,60,3,4,Medium,Medium
447,203376,25,193,92,83,73,60,67,69,83,85,2,3,High,Medium
445,203574,23,188,75,79,71,35,67,71,80,77,2,3,High,Medium
191,203747,22,178,74,81,95,51,69,78,75,70,3,3,High,Medium
339,203775,24,189,87,80,84,74,74,85,50,76,1,3,Medium,Medium
203,203841,25,192,76,70,72,69,71,72,47,69,1,3,Medium,Medium
331,203965,23,182,80,75,77,71,72,76,35,64,3,4,High,Low
446,204077,22,184,78,78,89,75,69,82,26,67,4,4,High,Medium
262,204210,28,193,84,70,46,49,52,56,70,74,2,3,Medium,High
223,204233,20,173,66,76,87,65,70,83,23,49,5,5,Medium,Medium
319,204289,23,180,82,76,79,77,57,76,27,61,3,4,Medium,Medium
211,204311,22,190,96,79,67,50,58,55,79,83,2,3,Medium,Medium
109,204485,26,179,67,83,82,74,78,88,28,55,5,4,Medium,Medium
1,204519,27,185,77,71,71,52,63,63,69,75,2,3,High,Medium
101,204529,23,185,86,80,79,80,59,77,27,74,3,4,Medium,Low
16,204847,23,180,70,70,76,45,55,66,67,66,2,2,High,Medium
411,204935,23,185,77,77,77,76,85,82,44,73,1,3,Medium,Medium
80,205243,26,191,87,74,58,33,41,44,74,81,2,3,Low,Medium
244,205540,21,176,81,72,85,67,62,77,45,66,3,4,Medium,Medium
184,205566,24,171,65,76,88,65,68,78,68,74,2,3,High,Low
5,205569,22,173,66,78,66,66,84,75,61,67,3,3,Medium,Medium
130,205596,23,179,65,65,69,42,52,63,63,63,2,3,High,Medium
426,205897,22,185,76,75,67,61,70,74,73,73,2,3,Medium,Medium
87,205989,22,183,66,75,64,51,66,69,75,76,2,3,Low,High
433,205990,22,176,72,69,67,51,66,65,64,71,2,3,Medium,High
376,206304,26,186,80,76,62,62,70,66,74,81,3,2,Medium,Medium
51,206489,24,183,80,66,75,37,57,66,64,69,2,2,Medium,Medium
375,206534,23,185,71,70,74,69,59,69,34,63,3,3,High,Medium
312,206538,23,181,73,72,73,54,65,66,71,75,3,3,Medium,High
154,207599,24,191,82,81,72,49,64,68,82,82,2,3,Medium,High
440,207725,24,190,83,73,38,45,47,47,75,74,2,3,Medium,Medium
406,207807,23,163,60,73,88,64,68,76,42,55,3,4,High,Medium
253,208135,24,182,69,78,66,71,73,76,74,81,2,3,High,Medium
177,208330,22,182,75,77,79,66,75,81,21,50,4,4,Medium,Low
239,208333,23,184,82,80,71,67,77,77,78,84,3,4,High,High
194,208339,27,182,82,75,77,74,57,71,30,72,2,3,Medium,Medium
47,208461,26,185,76,75,69,66,69,68,76,80,2,3,Medium,Medium
348,208534,23,188,87,73,53,43,42,53,73,75,2,3,Medium,High
193,208722,25,175,69,84,93,78,75,85,36,75,4,3,High,Medium
254,208830,30,179,74,81,91,79,63,77,51,78,3,3,High,High
63,208920,22,180,75,75,76,49,67,66,75,74,2,3,Medium,Medium
314,209483,22,186,80,69,75,63,64,72,48,68,1,2,Medium,Medium
22,209532,22,191,81,62,60,58,54,65,43,60,1,3,Medium,Medium
327,210317,23,178,78,63,63,48,60,59,63,62,2,3,Medium,Medium
342,210389,23,177,70,65,83,43,61,59,56,68,2,3,Medium,Medium
292,210972,23,178,76,76,76,45,65,71,73,72,2,3,High,Medium
216,211381,23,170,60,79,82,71,73,86,36,43,5,4,High,Low
264,211505,22,191,84,58,51,32,39,38,59,63,2,3,Medium,Medium
273,212125,23,175,65,76,90,65,68,82,41,54,4,3,Medium,Medium
143,212419,24,196,77,71,74,36,61,66,69,77,2,3,Medium,Medium
178,212493,21,182,70,68,82,64,62,74,26,54,3,3,Medium,Medium
353,212883,22,186,79,75,73,60,63,70,72,86,2,3,Medium,High
427,213051,24,180,70,77,60,61,73,70,72,78,3,3,Medium,High
170,213135,22,185,75,78,83,76,68,75,31,77,4,3,High,Medium
71,213648,21,185,84,75,64,61,73,75,69,77,3,4,Medium,Medium
366,213655,21,180,75,74,78,61,66,82,28,65,3,3,Medium,Medium
336,213666,21,191,83,70,67,55,63,71,64,75,2,4,Medium,Medium
255,213686,22,178,72,60,71,31,49,56,56,63,2,3,Medium,Medium
174,213697,22,183,72,72,66,49,60,65,73,74,2,3,Medium,Medium
117,213900,21,176,75,63,73,64,52,60,24,60,2,3,Medium,Low
437,213956,21,178,76,73,94,59,59,81,24,70,4,3,High,Low
412,215211,21,189,87,65,60,29,47,57,65,66,2,3,Medium,High
202,215639,21,182,77,72,80,66,64,76,49,64,4,2,Medium,Medium
350,215756,22,180,70,67,75,48,61,70,63,68,2,3,Medium,Medium
70,215914,26,168,68,87,81,66,75,79,81,84,3,3,Medium,High
374,216003,20,179,67,72,81,62,70,72,49,55,3,3,Medium,Medium
443,216267,23,178,64,75,80,60,67,75,72,71,2,2,High,High
18,216268,23,175,72,69,80,65,61,72,30,59,3,3,High,Medium
142,216270,22,173,72,62,68,53,60,62,45,56,2,3,Medium,Medium
395,216299,21,180,76,57,65,49,54,57,54,62,3,4,Medium,Medium
73,216321,22,185,82,64,65,57,61,67,37,60,3,3,High,High
419,216325,21,196,77,68,67,66,69,70,49,66,1,3,Medium,Medium
138,216791,22,185,77,66,72,33,51,50,65,71,2,3,Medium,Medium
308,216794,21,188,76,62,70,62,52,62,26,65,3,2,Medium,Medium
32,217699,29,188,83,81,69,77,67,72,47,85,2,3,High,High
372,218359,23,179,75,74,70,60,66,72,74,78,2,3,Medium,Medium
131,218659,21,183,70,69,75,37,60,64,66,68,2,2,Medium,Medium
341,218660,20,168,65,67,83,59,60,72,29,53,2,3,Medium,Medium
326,218661,21,180,71,62,61,55,64,66,47,57,2,3,Medium,Medium
313,220031,21,191,77,63,67,64,44,55,21,61,2,2,High,Medium
157,220182,22,184,70,74,75,42,57,64,74,73,2,3,Medium,Medium
41,220295,27,174,74,76,85,76,66,74,43,70,3,3,High,Medium
12,220633,21,180,74,73,90,66,64,80,23,55,3,3,Medium,Low
383,220710,20,173,70,61,76,58,55,64,34,43,2,3,Medium,Medium
137,220774,20,183,68,58,69,32,39,53,58,62,2,3,Medium,Medium
245,221350,20,179,75,66,86,63,49,68,25,54,2,2,High,Low
141,221479,20,187,71,67,82,64,51,68,31,64,2,3,High,Low
307,221545,20,183,66,54,63,46,59,53,40,50,2,3,Medium,Medium
40,221618,21,184,80,69,80,72,39,67,21,60,3,2,Medium,Medium
49,221890,23,182,78,70,65,54,63,66,70,73,2,3,Low,High
258,222104,19,196,80,63,55,29,43,52,61,69,2,3,Medium,Medium
289,222492,21,183,75,82,94,77,72,86,35,70,3,3,High,Medium
304,222503,20,186,74,56,60,54,54,57,34,50,1,2,Medium,Medium
356,222528,21,173,69,66,79,57,63,68,47,66,3,4,Medium,Medium
388,222634,21,182,90,73,84,68,64,76,29,71,3,3,Medium,Medium
386,222922,21,168,70,64,65,48,66,67,47,49,3,3,High,Low
280,223747,22,178,77,70,70,37,65,69,69,67,2,2,Medium,High
