,id,overall,age,pac,sho,pas,dri,def,phy
119,195671,78,27,65,79,56,68,40,76
120,194996,78,24,62,78,59,71,29,75
121,194932,78,25,85,75,73,80,33,63
122,194845,78,26,76,79,76,79,43,68
123,189682,78,27,66,37,58,65,77,82
124,189157,78,28,87,68,68,84,31,78
125,188879,78,27,72,54,64,67,76,86
126,186805,78,27,90,68,73,82,31,65
127,186115,78,27,79,55,70,74,77,72
128,184134,78,29,64,61,68,68,79,82
129,183125,78,29,65,81,65,69,35,85
130,182744,78,33,80,67,70,74,76,82
131,180283,78,28,65,74,81,75,63,70
132,170815,78,29,69,71,78,77,74,74
133,169706,78,28,59,62,75,74,76,79
134,161805,77,32,63,64,72,71,74,79
135,197681,77,24,72,61,73,80,62,72
136,198198,77,25,68,48,53,57,76,76
137,213051,77,24,60,61,73,70,72,78
138,194365,77,31,74,74,69,78,47,75
139,198719,77,23,87,69,70,82,24,52
140,179527,77,30,76,76,65,73,33,69
141,185422,77,25,90,77,60,76,29,70
142,153177,77,30,77,79,68,85,33,65
143,183130,77,27,79,69,74,77,47,70
144,194138,77,26,89,76,62,72,29,78
145,105846,77,37,77,73,62,82,38,77
146,140415,77,34,46,53,77,78,69,63
147,183427,77,27,74,69,73,82,68,75
148,204935,77,23,77,76,85,82,44,73
149,184716,77,27,62,63,73,77,70,70
150,184469,77,27,67,72,74,74,67,77
151,182945,77,29,85,73,71,80,44,60
152,158626,77,31,69,65,73,73,77,73
153,13732,77,36,34,47,57,50,79,73
154,186537,77,30,69,75,67,71,46,79
155,152747,77,30,83,64,71,82,38,62
156,172203,77,29,74,78,69,80,34,76
157,178091,77,27,73,74,57,72,27,83
158,136113,77,33,37,30,41,57,77,82
159,163761,77,32,64,38,48,54,77,76
160,208330,77,22,79,66,75,81,21,50
161,187084,77,29,83,75,61,68,65,81
162,151508,77,32,64,61,77,77,67,74
163,182495,77,30,74,51,63,64,79,75
164,157665,77,30,45,40,52,49,78,77
165,226790,77,20,74,60,65,67,78,80
166,152554,77,31,79,43,65,73,75,68
167,186351,77,27,71,75,72,75,70,81
168,199667,77,26,68,49,61,65,76,78
169,193011,77,26,56,27,52,60,77,77
170,188155,77,27,74,63,70,74,74,81
171,199422,77,26,63,66,76,75,66,73
172,203263,77,24,46,37,56,61,77,82
173,169216,76,30,83,72,60,74,37,80
174,204289,76,23,79,77,57,76,27,61
175,177922,76,29,85,72,72,76,34,61
176,195859,76,24,82,74,64,77,35,71
177,210972,76,23,76,45,65,71,73,72
178,189725,76,27,67,69,75,75,58,65
179,179746,76,27,58,77,64,71,43,83
180,178213,76,28,58,70,70,73,74,76
181,186672,76,31,63,56,67,68,78,77
182,197937,76,28,70,47,52,50,75,81
183,139313,76,31,62,69,77,71,76,77
184,200765,76,24,68,50,64,74,76,76
185,169792,76,27,77,75,68,76,32,67
186,186200,76,26,77,74,70,76,28,69
187,192613,76,30,73,76,67,77,45,78
188,197756,76,25,76,74,70,79,37,74
189,220295,76,27,85,76,66,74,43,70
190,169607,76,29,65,57,67,67,75,81
191,182168,76,29,43,32,57,58,78,75
192,186521,76,27,54,44,59,49,75,77
193,201884,76,25,81,71,75,76,65,69
194,212125,76,23,90,65,68,82,41,54
195,202695,76,24,64,43,61,64,75,79
196,204233,76,20,87,65,70,83,23,49
197,135883,76,32,65,43,69,67,76,76
198,198861,76,25,71,55,71,74,73,76
199,199633,76,28,75,60,69,73,74,77
200,206304,76,26,62,62,70,66,74,81
201,205566,76,24,88,65,68,78,68,74
202,192766,76,25,58,43,65,66,76,72
203,54033,75,30,43,71,79,66,70,71
204,184082,75,28,59,38,53,53,74,82
205,208920,75,22,76,49,67,66,75,74
206,200478,75,25,72,68,74,75,70,78
207,163873,75,34,75,74,71,75,45,78
208,54051,75,32,72,66,70,81,36,61
209,137782,75,32,71,63,72,76,73,72
210,188484,75,26,83,72,58,74,29,71
211,205897,75,22,67,61,70,74,73,73
212,208461,75,26,69,66,69,68,76,80
213,186190,75,26,86,63,67,74,70,72
214,201818,75,24,93,75,62,78,28,57
215,163418,75,31,52,44,56,55,74,79
216,2147,75,34,76,73,79,75,41,72
217,190824,75,25,83,55,71,76,70,71
218,192362,75,26,91,65,67,76,24,58
219,196978,75,25,90,73,63,74,34,76
220,190324,75,26,73,50,49,62,74,79
221,173436,75,29,83,72,67,80,38,63
222,169600,75,30,69,38,61,67,77,76
223,178567,75,28,66,40,65,67,78,78
224,189067,75,31,50,34,50,52,76,74
225,189324,75,27,76,73,61,78,57,74
226,213648,75,21,64,61,73,75,69,77
227,212883,75,22,73,60,63,70,72,86
228,184472,75,29,82,62,67,71,73,76
229,191648,75,28,62,41,51,61,76,75
230,205989,75,22,64,51,66,69,75,76
231,169638,75,30,76,55,72,74,72,70
232,225719,75,20,84,75,60,74,22,68
233,203965,75,23,77,71,72,76,35,64
234,138436,75,33,63,73,70,72,59,82
235,171972,75,29,62,60,72,71,72,76
236,165321,75,31,68,59,69,70,74,78
237,216267,75,23,80,60,67,75,72,71
238,208339,75,27,77,74,57,71,30,72
239,190683,75,26,68,68,75,73,69,69
240,172768,75,30,61,64,75,72,64,71
241,186598,75,28,74,52,65,67,74,70
242,173546,75,28,51,33,53,54,77,75
243,183288,75,30,64,39,57,54,75,79
244,186385,74,28,68,63,72,70,68,72
245,220182,74,22,75,42,57,64,74,73
246,186392,74,27,65,54,65,65,76,75
247,186905,74,27,67,73,63,73,42,81
248,160292,74,31,50,68,76,71,68,70
249,51257,74,36,33,75,68,66,32,69
250,202052,74,24,80,73,60,71,26,72
251,165190,74,30,58,65,72,65,70,77
252,155976,74,31,43,75,79,67,58,72
253,153938,74,34,50,59,71,72,79,72
254,195668,74,27,78,69,75,77,51,72
255,179547,74,29,74,72,71,75,60,71
256,170084,74,30,73,75,80,71,41,76
257,164459,74,32,56,74,77,72,62,72
258,199286,74,26,78,59,69,73,71,75
259,233601,74,20,75,62,71,77,43,65
260,213655,74,21,78,61,66,82,28,65
261,164505,74,32,74,69,74,76,37,73
262,165788,74,30,49,72,62,69,42,79
263,205243,74,26,58,33,41,44,74,81
264,152514,74,31,66,68,75,75,61,70
265,140498,74,32,73,71,67,76,49,73
266,200408,74,24,64,26,45,47,76,72
267,122849,74,33,76,73,62,73,35,71
268,163303,74,33,42,63,70,68,74,73
269,218359,74,23,70,60,66,72,74,78
270,120312,74,33,29,33,44,37,76,73
271,189446,73,27,80,68,71,73,32,56
272,188168,73,29,72,56,63,71,73,78
273,187942,73,28,67,71,50,65,34,81
274,159577,73,35,31,41,49,39,73,79
275,189280,73,27,65,53,76,71,63,66
276,191076,73,26,78,72,69,76,49,72
277,183916,73,28,71,68,74,75,72,73
278,207725,73,24,38,45,47,47,75,74
279,178287,73,28,69,68,72,74,63,68
280,230005,73,19,73,61,71,74,58,73
281,169590,73,29,52,66,76,66,71,71
282,192129,73,28,73,66,66,78,53,74
283,200841,73,25,70,50,66,67,72,73
284,208534,73,23,53,43,42,53,73,75
285,3484,73,36,33,33,56,53,75,65
286,176546,73,31,86,65,71,80,67,68
287,190885,73,26,76,55,69,73,71,69
288,183465,73,26,63,68,71,72,73,74
289,222634,73,21,84,68,64,76,29,71
290,184749,73,27,62,68,70,68,67,71
291,166838,73,30,71,66,67,76,39,68
292,207807,73,23,88,64,68,76,42,55
293,193475,73,27,74,51,70,72,71,74
294,213956,73,21,94,59,59,81,24,70
295,220633,73,21,90,66,64,80,23,55
296,180706,73,28,56,37,54,54,74,73
297,184037,73,27,58,44,61,62,74,76
298,53739,73,34,74,70,69,75,43,72
299,164853,73,32,73,69,78,73,47,70
300,202491,73,25,66,58,74,70,52,51
301,54013,73,32,69,69,73,74,39,59
302,191005,72,29,77,64,72,72,66,74
303,194334,72,26,64,37,52,60,73,72
304,200759,72,24,87,61,62,74,67,77
305,170570,72,30,54,65,70,72,45,59
306,215639,72,21,80,66,64,76,49,64
307,193884,72,26,71,67,71,72,63,70
308,52326,72,32,73,70,69,77,47,71
309,191089,72,24,66,72,61,66,27,76
310,193910,72,25,66,63,73,76,54,61
311,202113,72,23,87,60,63,71,70,75
312,179592,72,31,66,70,70,74,59,70
313,172953,72,30,68,34,57,63,75,72
314,179613,72,29,74,71,69,74,39,76
315,152991,72,33,67,67,71,69,69,79
316,163261,72,32,62,59,60,64,73,76
317,198335,72,27,75,61,67,75,69,68
318,166080,72,30,67,68,73,76,52,66
319,213697,72,22,66,49,60,65,73,74
320,216003,72,20,81,62,70,72,49,55
321,228295,72,21,62,34,53,65,73,74
322,206538,72,23,73,54,65,66,71,75
323,169426,72,30,72,51,62,66,72,75
324,186578,72,28,64,71,68,70,68,71
325,205540,72,21,85,67,62,77,45,66
326,189680,72,26,80,56,68,72,70,66
327,224294,71,20,73,56,68,76,63,70
328,49212,71,38,74,70,67,73,43,67
329,196932,71,24,66,69,58,65,28,69
330,190549,71,24,64,70,67,70,65,78
331,198511,71,26,73,67,68,73,34,70
332,169586,71,29,77,70,57,71,34,67
333,232099,71,21,67,68,67,67,69,77
334,212419,71,24,74,36,61,66,69,77
335,202697,71,23,61,41,55,62,72,69
336,155355,71,28,72,63,71,72,50,61
337,138722,71,30,64,55,61,69,73,73
338,204519,71,27,71,52,63,63,69,75
339,223747,70,22,70,37,65,69,69,67
340,225539,70,19,75,67,62,73,25,63
341,201999,70,24,65,39,59,69,72,72
342,163625,70,31,60,66,72,64,66,72
343,204847,70,23,76,45,55,66,67,66
344,202811,70,24,71,68,73,72,58,67
345,203841,70,25,72,69,71,72,47,69
346,225100,70,20,77,30,53,65,69,72
347,183385,70,31,69,68,67,68,63,80
348,229984,70,20,76,43,64,71,66,69
349,187489,70,28,60,66,65,69,69,81
350,194146,70,26,63,35,43,52,70,76
351,200309,70,25,90,48,59,68,63,76
352,213666,70,21,67,55,63,71,64,75
353,204210,70,28,46,49,52,56,70,74
354,221890,70,23,65,54,63,66,70,73
355,206534,70,23,74,69,59,69,34,63
356,228813,70,20,66,61,70,72,58,53
357,218659,69,21,75,37,60,64,66,68
358,209483,69,22,75,63,64,72,48,68
359,231281,69,18,81,58,70,67,64,66
360,205990,69,22,67,51,66,65,64,71
361,221618,69,21,80,72,39,67,21,60
362,188107,69,27,78,67,45,67,28,77
363,216268,69,23,80,65,61,72,30,59
364,216325,68,21,67,66,69,70,49,66
365,212493,68,21,82,64,62,74,26,54
366,224021,68,20,84,59,60,70,30,56
367,170008,68,29,71,63,63,68,45,69
368,229682,68,19,66,29,44,45,69,66
369,226401,68,19,69,63,66,72,46,55
370,188278,68,26,70,65,64,73,48,67
371,225024,67,20,76,42,54,65,66,71
372,218660,67,20,83,59,60,72,29,53
373,221479,67,20,82,64,51,68,31,64
374,203331,67,24,87,51,58,69,33,60
375,152690,67,38,67,65,62,63,34,69
376,172966,67,29,59,42,57,62,69,69
377,201911,67,24,73,66,55,68,34,61
378,215756,67,22,75,48,61,70,63,68
379,225785,67,19,82,54,54,72,18,52
380,50723,66,36,67,64,63,63,52,65
381,222528,66,21,79,57,63,68,47,66
382,224656,66,20,83,36,50,67,63,67
383,206489,66,24,75,37,57,66,64,69
384,221350,66,20,86,63,49,68,25,54
385,234706,66,19,82,40,60,64,62,61
386,236246,66,19,73,57,64,69,44,65
387,216791,66,22,72,33,51,50,65,71
388,223979,66,18,78,63,59,73,36,52
389,228332,66,19,70,44,58,62,64,73
390,231410,66,17,76,64,55,73,23,46
391,225782,66,19,83,53,62,65,57,66
392,205596,65,23,69,42,52,63,63,63
393,197932,65,26,85,61,50,63,33,68
394,233064,65,18,69,58,64,71,44,47
395,224371,65,20,76,62,55,71,34,62
396,199812,65,25,65,59,65,69,42,61
397,215211,65,21,60,29,47,57,65,66
398,210389,65,23,83,43,61,59,56,68
399,236248,65,17,77,62,57,68,21,53
400,216321,64,22,65,57,61,67,37,60
401,228382,64,20,78,62,46,62,27,72
402,222922,64,21,65,48,66,67,47,49
403,230899,64,19,84,68,48,73,17,60
404,235855,63,18,88,61,51,70,23,54
405,220031,63,21,67,64,44,55,21,61
406,213900,63,21,73,64,52,60,24,60
407,210317,63,23,63,48,60,59,63,62
408,222104,63,19,55,29,43,52,61,69
409,227995,63,19,70,60,62,61,51,59
410,228509,63,19,75,48,58,68,44,56
411,218661,62,21,61,55,64,66,47,57
412,228410,62,19,67,61,62,61,42,59
413,209532,62,22,60,58,54,65,43,60
414,216270,62,22,68,53,60,62,45,56
415,216794,62,21,70,62,52,62,26,65
416,223963,62,18,67,32,48,50,62,67
417,229348,62,19,84,34,41,60,61,49
418,224263,61,20,71,33,53,53,60,61
419,220710,61,20,76,58,55,64,34,43
420,236464,61,19,78,56,49,58,22,62
421,233934,61,19,62,59,53,68,35,58
422,237337,60,17,65,53,57,67,35,42
423,232757,60,19,63,50,61,64,45,45
424,228407,60,20,58,47,58,61,50,58
425,232759,60,18,67,36,49,62,58,58
426,227681,60,22,70,60,45,55,23,58
427,235161,60,18,74,60,50,61,22,53
428,213686,60,22,71,31,49,56,56,63
429,225462,60,21,76,56,52,63,21,49
430,235458,60,20,59,32,36,41,55,80
431,230882,60,20,54,33,35,40,63,61
432,223977,60,19,81,50,47,65,17,43
433,225543,59,20,60,56,56,62,43,57
434,234249,59,18,57,58,43,56,28,66
435,234252,59,18,59,28,33,43,59,65
436,229901,59,18,35,28,40,53,57,65
437,224017,59,21,55,42,58,55,56,63
438,229718,59,18,67,52,62,62,40,50
439,175603,59,30,67,54,54,61,53,54
440,231673,59,18,66,47,57,60,48,59
441,211505,58,22,51,32,39,38,59,63
442,232544,58,21,55,54,58,62,45,58
443,220774,58,20,69,32,39,53,58,62
444,224887,58,20,71,61,41,55,17,49
445,229266,58,19,55,29,37,41,60,58
446,230640,58,21,65,60,42,55,22,57
447,234743,58,18,67,54,45,57,29,65
448,234645,57,20,58,35,36,57,62,52
449,231639,57,20,65,33,45,55,56,60
450,216299,57,21,65,49,54,57,54,62
451,227854,56,19,55,26,48,48,57,59
452,222503,56,20,60,54,54,57,34,50
453,230697,56,20,62,55,60,61,44,49
454,231172,55,20,53,54,56,54,28,55
455,233528,54,19,88,52,39,49,17,55
456,221545,54,20,63,46,59,53,40,50
457,230807,53,19,61,28,34,52,52,56
458,231681,52,19,57,43,46,54,36,52
