,id,overall,age,pac,sho,pas,dri,def,phy,overall_pred
101,185103,79,31,65,68,77,75,79,78,78
102,183108,79,30,82,74,76,82,56,73,79
103,177578,79,30,40,34,49,44,78,79,78
104,176550,79,28,78,77,72,82,46,72,76
105,176266,79,30,48,40,70,71,78,75,77
106,172962,79,26,82,71,72,82,68,72,79
107,169596,79,29,50,44,53,51,80,83,79
108,167943,79,31,64,72,79,75,73,72,79
109,146439,79,31,62,80,67,72,39,79,80
110,142784,79,32,63,56,70,73,81,78,82
111,139062,79,35,79,76,73,81,48,77,79
112,135451,79,36,79,75,62,84,51,77,80
113,6826,79,36,34,65,79,68,78,76,79
114,213135,78,22,83,75,69,76,32,76,74
115,208135,78,24,67,71,73,75,74,80,77
116,205569,78,22,66,65,83,74,62,68,78
117,204077,78,22,85,73,69,81,28,70,77
118,201508,78,26,72,75,77,81,42,62,79
119,195671,78,27,66,78,58,69,39,76,72
120,194996,78,24,62,77,59,70,31,75,71
121,194932,78,25,85,75,72,80,32,62,78
122,194845,78,26,73,78,79,81,42,71,81
123,189682,78,27,66,37,58,65,76,80,78
124,189157,78,28,88,68,69,83,33,79,84
125,188879,78,27,69,55,64,67,77,84,78
126,186805,78,27,90,69,73,83,31,66,79
127,186115,78,27,78,56,70,75,77,72,78
128,184134,78,29,64,61,68,68,79,80,78
129,183125,78,29,66,80,65,69,35,84,72
130,182744,78,33,78,67,68,73,74,78,75
131,180283,78,28,63,74,81,75,64,71,78
132,170815,78,29,68,71,78,76,74,73,77
133,169706,78,28,58,60,74,73,75,78,76
134,161805,77,32,64,64,72,71,75,79,77
135,197681,77,24,72,61,74,80,66,74,77
136,198198,77,25,65,48,53,56,76,77,77
137,213051,77,24,60,62,73,70,72,77,74
138,194365,77,31,73,75,69,77,46,75,76
139,198719,77,23,87,68,70,81,25,53,77
140,179527,77,30,78,77,66,74,34,70,78
141,185422,77,25,89,74,61,75,30,69,72
142,153177,77,30,76,77,69,85,35,65,78
143,183130,77,27,78,69,73,77,44,68,75
144,194138,77,26,89,75,62,72,28,76,76
145,105846,77,37,74,73,68,77,45,76,75
146,140415,77,34,56,56,77,77,70,69,77
147,183427,77,27,74,69,74,82,68,73,77
148,204935,77,23,75,74,81,79,45,70,79
149,184716,77,27,64,62,73,77,69,68,77
150,184469,77,27,67,71,73,74,66,77,76
151,182945,77,29,84,73,71,81,43,62,79
152,158626,77,31,70,65,71,74,77,76,76
153,13732,77,36,34,47,56,51,80,74,80
154,186537,77,30,68,74,70,72,47,78,76
155,152747,77,30,86,67,71,82,40,63,77
156,172203,77,29,75,78,71,79,37,76,78
157,178091,77,27,72,74,60,73,28,81,75
158,136113,77,33,40,32,45,57,77,81,77
159,163761,77,32,64,39,51,55,77,77,77
160,208330,77,22,79,66,75,81,24,53,77
161,187084,77,29,83,75,60,67,54,80,76
162,151508,77,32,65,62,77,77,67,73,78
163,182495,77,30,76,50,63,64,79,76,77
164,157665,77,30,45,40,53,49,78,78,77
165,226790,77,20,75,57,64,65,76,78,73
166,152554,77,31,80,45,64,73,76,69,77
167,186351,77,27,71,74,72,75,70,79,77
168,199667,77,26,67,48,60,65,75,78,75
169,193011,77,26,57,30,54,59,76,77,77
170,188155,77,27,73,63,71,74,74,80,77
171,199422,77,26,64,61,77,75,67,73,76
172,203263,77,24,50,37,55,59,76,81,78
173,169216,76,30,82,73,61,74,37,80,76
174,204289,76,23,79,77,58,76,28,62,79
175,177922,76,29,85,73,72,76,33,63,76
176,195859,76,24,83,74,64,77,34,71,77
177,210972,76,23,76,46,65,72,73,72,75
178,189725,76,27,68,70,76,76,57,64,79
179,179746,76,27,58,75,63,69,42,82,72
180,178213,76,28,56,65,71,74,77,79,79
181,186672,76,31,65,57,68,69,77,77,77
182,139313,76,31,63,68,76,71,75,77,76
183,200765,76,24,68,52,65,73,76,76,76
184,169792,76,27,78,75,69,76,32,69,75
185,186200,76,26,76,75,70,76,31,70,75
186,192613,76,30,74,76,70,78,43,76,76
187,197756,76,25,76,74,70,79,36,74,76
188,220295,76,27,83,73,66,74,45,71,73
189,169607,76,29,65,58,68,68,76,80,79
190,182168,76,29,46,35,55,60,77,76,75
191,186521,76,27,55,45,59,50,76,78,78
192,201884,76,25,80,70,74,76,65,69,74
193,212125,76,23,90,66,69,82,41,55,77
194,202695,76,24,63,39,57,63,75,77,73
195,204233,76,20,86,64,69,82,24,50,77
196,135883,76,32,66,45,68,68,75,76,74
197,198861,76,25,70,56,72,74,73,76,76
198,199633,76,28,74,60,68,72,74,76,75
199,206304,76,26,60,63,70,66,72,78,74
200,205566,76,24,88,66,69,78,68,72,77
201,192766,76,25,59,44,65,66,76,73,76
202,54033,75,30,44,70,79,67,70,74,76
203,184082,75,28,59,37,53,53,74,81,74
204,208920,75,22,76,50,65,66,74,73,75
205,200478,75,25,68,67,72,73,69,75,74
206,163873,75,34,75,74,71,77,45,77,78
207,54051,75,32,72,67,71,81,40,68,76
208,137782,75,32,73,63,72,76,74,74,76
209,188484,75,26,83,73,58,74,28,72,75
210,205897,75,22,67,54,68,71,70,74,74
211,208461,75,26,66,64,69,68,75,79,75
212,186190,75,26,86,63,67,74,70,72,75
213,201818,75,24,92,75,63,78,27,58,77
214,163418,75,31,53,44,57,55,75,79,75
215,2147,75,34,75,74,75,76,41,73,76
216,190824,75,25,82,55,71,76,70,71,75
217,192362,75,26,91,66,68,77,25,60,79
218,196978,75,25,90,73,64,74,36,76,75
219,190324,75,26,74,49,55,64,75,81,75
220,173436,75,29,88,72,69,82,42,63,78
221,169600,75,30,70,40,62,67,76,76,75
222,178567,75,28,65,41,66,66,78,78,76
223,189067,75,31,50,35,51,52,77,75,75
224,189324,75,27,76,73,62,78,55,74,75
225,213648,75,21,65,62,73,75,69,76,73
226,212883,75,22,74,59,64,69,72,84,75
227,184472,75,29,81,62,68,71,73,76,75
228,191648,75,28,63,41,52,61,76,76,76
229,205989,75,22,64,51,66,69,75,76,75
230,169638,75,30,76,55,71,73,72,71,75
231,225719,75,20,85,74,61,74,23,69,73
232,203965,75,23,77,71,72,77,35,65,77
233,138436,75,33,63,73,70,72,57,81,75
234,171972,75,29,62,60,72,71,72,76,75
235,165321,75,31,67,59,68,69,73,76,72
236,216267,75,23,81,60,67,72,72,73,75
237,208339,75,27,77,73,59,71,31,72,74
238,190683,75,26,67,68,75,73,69,69,75
239,172768,75,30,61,64,75,72,65,72,75
240,186598,75,28,73,52,65,67,74,71,75
241,173546,75,28,52,33,53,52,77,75,76
242,183288,75,30,64,39,57,55,75,79,75
243,186385,74,28,68,63,71,70,69,72,73
244,220182,74,22,75,42,58,64,74,74,74
245,186392,74,27,65,54,66,66,76,76,75
246,186905,74,27,67,72,62,72,42,80,74
247,160292,74,31,53,67,75,71,68,71,75
248,51257,74,36,38,75,69,67,33,71,74
249,202052,74,24,81,73,61,72,28,72,73
250,165190,74,30,59,65,72,66,71,77,72
251,155976,74,31,45,75,79,69,58,73,75
252,153938,74,34,52,59,71,72,79,73,74
253,195668,74,27,74,74,71,76,47,75,75
254,179547,74,29,75,72,71,76,59,72,74
255,170084,74,30,73,74,77,73,42,75,75
256,164459,74,32,55,73,77,73,62,72,75
257,199286,74,26,78,59,69,74,72,75,76
258,233601,74,20,75,63,71,76,44,63,71
259,213655,74,21,78,62,66,81,28,65,74
260,164505,74,32,75,71,70,77,42,74,76
261,165788,74,30,51,73,62,69,42,80,74
262,205243,74,26,57,34,43,44,75,80,74
263,152514,74,31,68,70,75,76,57,70,73
264,140498,74,32,74,72,68,76,49,74,73
265,200408,74,24,62,28,47,47,75,72,72
266,122849,74,33,75,73,62,73,35,72,74
267,163303,74,33,43,64,71,69,74,74,74
268,218359,74,23,69,59,66,72,74,76,75
269,120312,74,33,33,33,47,41,77,74,75
270,189446,73,27,80,67,70,73,32,56,73
271,188168,73,29,71,55,63,71,74,76,74
272,187942,73,28,68,71,51,65,35,80,73
273,159577,73,35,34,43,51,43,74,78,74
274,189280,73,27,65,56,77,69,66,66,72
275,191076,73,26,77,72,69,76,49,71,73
276,183916,73,28,73,69,74,75,71,73,74
277,207725,73,24,51,40,50,51,75,77,75
278,178287,73,28,69,68,72,74,63,68,73
279,230005,73,19,71,56,68,71,57,71,66
280,169590,73,29,53,66,77,72,74,75,76
281,192129,73,28,73,70,69,73,49,74,70
282,200841,73,25,69,49,66,68,73,74,73
283,208534,73,23,56,44,48,52,74,76,74
284,3484,73,36,35,33,56,53,76,69,75
285,176546,73,31,84,65,71,81,68,70,78
286,190885,73,26,76,54,68,73,70,70,73
287,183465,73,26,63,69,71,72,73,75,74
288,222634,73,21,85,68,63,76,29,71,72
289,184749,73,27,63,68,71,69,68,71,72
290,166838,73,30,71,66,68,76,39,68,73
291,207807,73,23,89,64,68,76,43,57,73
292,193475,73,27,76,52,70,73,72,75,76
293,213956,73,21,93,61,60,80,25,70,77
294,220633,73,21,89,65,63,80,24,55,74
295,180706,73,28,58,37,55,54,75,73,73
296,184037,73,27,60,44,61,63,75,76,74
297,53739,73,34,72,70,70,73,47,72,72
298,164853,73,32,74,70,76,75,47,72,73
299,202491,73,25,66,59,74,70,52,54,62
300,54013,73,32,70,70,74,75,39,60,77
301,191005,72,29,76,66,72,73,68,72,73
302,194334,72,26,63,37,53,61,74,73,72
303,200759,72,24,87,60,62,74,66,77,72
304,170570,72,30,60,68,74,74,49,62,72
305,215639,72,21,80,66,64,76,47,65,72
306,193884,72,26,70,66,70,71,61,69,73
307,52326,72,32,73,70,69,75,46,71,70
308,191089,72,24,68,73,61,68,29,77,73
309,193910,72,25,66,64,73,76,52,62,72
310,202113,72,23,86,60,64,70,70,75,71
311,179592,72,31,66,70,70,74,59,70,72
312,172953,72,30,69,35,58,64,75,73,73
313,179613,72,29,76,71,69,74,39,77,75
314,152991,72,33,65,67,71,69,68,79,72
315,163261,72,32,63,58,60,65,74,76,74
316,198335,72,27,74,61,68,75,70,68,73
317,166080,72,30,64,71,77,76,46,63,77
318,213697,72,22,65,49,58,64,73,73,72
319,216003,72,20,80,61,69,71,49,56,71
320,228295,72,21,63,34,53,65,71,73,68
321,206538,72,23,72,54,64,66,72,75,72
322,169426,72,30,71,54,64,66,76,77,75
323,186578,72,28,65,71,69,70,67,71,72
324,205540,72,21,85,67,62,77,46,67,71
325,189680,72,26,79,56,69,73,70,67,73
326,224294,71,20,73,56,67,75,63,70,71
327,49212,71,38,74,70,68,74,43,67,71
328,196932,71,24,69,67,55,65,33,72,72
329,190549,71,24,63,74,71,74,66,79,76
330,198511,71,26,72,70,70,74,41,74,73
331,169586,71,29,77,72,61,72,33,67,73
332,232099,71,21,69,68,67,68,71,78,72
333,212419,71,24,75,37,60,67,69,77,70
334,202697,71,23,61,42,56,61,70,69,70
335,155355,71,28,73,63,71,73,49,62,72
336,138722,71,30,65,55,61,69,72,74,70
337,204519,71,27,70,53,62,64,70,74,70
338,223747,70,22,70,37,62,68,69,66,69
339,225539,70,19,75,66,62,72,25,64,70
340,201999,70,24,66,39,59,68,73,73,71
341,163625,70,31,62,66,72,66,66,72,71
342,204847,70,23,75,45,56,66,68,67,69
343,202811,70,24,69,67,70,70,53,68,70
344,203841,70,25,70,65,66,69,45,67,68
345,225100,70,20,77,32,55,65,70,72,70
346,183385,70,31,68,68,67,69,64,80,71
347,229984,70,20,76,44,64,71,66,68,69
348,187489,70,28,55,62,70,69,65,78,73
349,194146,70,26,59,34,43,52,69,75,69
350,200309,70,25,87,50,59,69,64,75,70
351,213666,70,21,67,55,64,69,64,72,69
352,204210,70,28,51,51,57,61,74,78,75
353,221890,70,23,65,55,65,67,72,75,72
354,206534,70,23,74,70,60,70,34,64,75
355,228813,70,20,66,60,69,70,53,52,70
356,218659,69,21,76,38,60,65,67,68,68
357,209483,69,22,72,65,68,71,47,65,71
358,231281,69,18,81,58,69,67,63,65,69
359,205990,69,22,66,52,66,65,65,71,71
360,221618,69,21,80,71,43,69,24,63,70
361,188107,69,27,79,69,47,68,29,78,72
362,216268,69,23,80,65,61,72,31,59,69
363,216325,68,21,66,62,65,66,47,64,69
364,212493,68,21,83,64,62,74,27,55,69
365,224021,68,20,83,61,60,70,30,57,71
366,170008,68,29,67,63,63,67,43,67,68
367,229682,68,19,62,31,44,46,66,68,68
368,226401,68,19,71,62,62,69,46,55,70
369,188278,68,26,70,67,65,73,47,68,69
370,225024,67,20,77,43,55,66,67,71,67
371,218660,67,20,80,58,58,68,32,51,66
372,221479,67,20,81,64,51,67,31,64,67
373,203331,67,24,86,53,59,69,35,60,64
374,152690,67,38,68,67,65,67,37,70,69
375,172966,67,29,60,42,57,63,70,70,69
376,201911,67,24,74,66,55,69,35,62,66
377,215756,67,22,73,50,61,68,61,63,64
378,225785,67,19,82,55,52,70,19,53,65
379,50723,66,36,63,65,64,69,45,72,68
380,222528,66,21,79,57,64,69,47,67,65
381,224656,66,20,81,37,50,66,63,66,66
382,206489,66,24,75,37,57,66,64,70,66
383,221350,66,20,85,63,49,68,25,56,68
384,234706,66,19,79,39,47,61,49,56,61
385,236246,66,19,73,57,64,69,45,66,66
386,216791,66,22,65,33,48,51,64,72,68
387,223979,66,18,78,62,57,70,35,51,62
388,228332,66,19,70,40,57,64,64,72,66
389,231410,66,17,77,62,57,72,23,47,66
390,225782,66,19,80,53,61,65,58,67,65
391,205596,65,23,70,44,52,64,63,63,64
392,197932,65,26,84,61,50,63,34,65,66
393,233064,65,18,68,57,60,68,40,48,66
394,224371,65,20,72,59,53,67,32,61,67
395,199812,65,25,65,62,67,65,42,64,72
396,215211,65,21,61,31,49,59,65,67,65
397,210389,65,23,81,45,60,60,57,66,70
398,236248,65,17,80,62,54,68,26,56,63
399,216321,64,22,66,58,61,68,38,61,64
400,228382,64,20,77,61,47,62,27,71,63
401,222922,64,21,66,48,66,67,47,51,64
402,230899,64,19,83,67,49,71,20,60,64
403,235855,63,18,87,61,52,70,24,55,64
404,220031,63,21,68,63,45,56,23,61,62
405,213900,63,21,72,64,52,61,25,60,66
406,210317,63,23,62,48,60,60,63,62,63
407,222104,63,19,58,31,45,52,63,69,62
408,227995,63,19,68,57,62,61,51,58,58
409,228509,63,19,76,50,58,69,44,57,63
410,218661,62,21,63,56,64,67,47,58,66
411,228410,62,19,64,59,60,63,40,60,64
412,209532,62,22,62,60,59,64,45,61,62
413,216270,62,22,68,53,61,62,45,56,62
414,216794,62,21,68,62,54,62,28,64,63
415,223963,62,18,66,33,49,54,62,65,62
416,229348,62,19,77,34,43,60,61,52,62
417,224263,61,20,66,33,51,53,59,61,59
418,220710,61,20,78,59,55,66,33,46,66
419,236464,61,19,74,59,49,58,25,59,60
420,233934,61,19,63,58,56,67,38,59,62
421,237337,60,17,65,54,56,67,37,45,62
422,232757,60,19,65,52,62,65,45,49,67
423,228407,60,20,60,48,58,62,49,58,59
424,232759,60,18,65,35,48,61,58,57,58
425,227681,60,22,70,60,47,56,24,58,60
426,235161,60,18,72,60,52,62,25,55,62
427,213686,60,22,67,34,50,60,55,65,67
428,225462,60,21,73,58,54,67,26,52,65
429,235458,60,20,54,37,42,47,47,70,58
430,230882,60,20,57,32,38,42,63,62,59
431,223977,60,19,82,52,49,66,21,45,62
432,225543,59,20,61,57,57,62,41,58,59
433,234249,59,18,58,58,44,55,31,66,59
434,234252,59,18,58,29,37,44,58,62,60
435,229901,59,18,47,29,44,52,58,66,60
436,224017,59,21,55,41,57,57,57,65,58
437,229718,59,18,67,53,62,64,42,53,59
438,175603,59,30,61,63,62,67,44,67,68
439,231673,59,18,67,49,57,61,49,61,63
440,211505,58,22,53,32,41,42,56,63,58
441,232544,58,21,58,54,59,62,44,59,63
442,220774,58,20,62,32,41,53,59,62,59
443,224887,58,20,72,61,44,56,19,51,60
444,229266,58,19,57,29,38,43,61,60,60
445,230640,58,21,67,60,44,57,22,59,61
446,234743,58,18,66,55,46,60,31,63,59
447,234645,57,20,60,35,39,60,62,54,57
448,231639,57,20,65,33,44,56,54,58,58
449,216299,57,21,60,52,56,59,55,66,58
450,227854,56,19,57,28,48,50,57,59,58
451,222503,56,20,61,57,57,62,42,58,59
452,230697,56,20,62,54,60,64,47,56,58
453,231172,55,20,58,55,58,58,34,58,58
454,233528,54,19,89,54,45,58,23,55,61
455,221545,54,20,65,47,59,55,42,53,58
456,230807,53,19,64,30,38,54,53,56,53
457,231681,52,19,59,49,51,58,38,56,57
