"Rating","Height","Weight","Age","Work_Rate","Weak_foot","Skill_Moves","Ball_Control","Dribbling","Marking","Sliding_Tackle","Standing_Tackle","Aggression","Reactions","Attacking_Position","Interceptions","Vision","Composure","Crossing","Short_Pass","Long_Pass","Acceleration","Speed","Stamina","Strength","Balance","Agility","Jumping","Heading","Shot_Power","Finishing","Long_Shots","Curve","Freekick_Accuracy","Penalties","Volleys","GK_Positioning","GK_Diving","GK_Kicking","GK_Handling","GK_Reflexes","fifa_api_id"
"83","178 cm","75 kg","27","Medium / Medium","3","3","77","70","87","87","88","76","88","64","85","68","66","79","80","74","79","79","88","74","73","75","75","73","68","46","60","66","58","66","54","6","13","10","9","5","184432"
"83","172 cm","73 kg","28","High / High","5","4","86","85","60","62","68","74","78","77","68","83","80","74","86","78","76","74","89","67","76","83","73","67","72","79","72","77","66","70","72","8","6","14","15","11","180819"
"83","192 cm","88 kg","30","Medium / Medium","3","2","82","72","26","20","37","76","83","84","41","75","78","63","77","56","60","58","79","88","52","59","82","88","84","84","76","70","65","81","82","6","12","11","15","5","178509"
"83","184 cm","80 kg","33","Medium / Medium","3","1","15","13","11","19","18","40","77","15","23","71","60","12","32","31","58","54","44","70","64","64","81","18","22","13","21","25","60","23","11","77","82","87","84","82","174543"
"83","200 cm","83 kg","29","Medium / Medium","2","1","24","16","13","12","11","42","79","11","21","31","62","14","26","32","52","58","36","80","41","53","38","12","28","12","12","17","15","40","12","80","83","74","81","84","172723"
"83","180 cm","76 kg","27","Medium / Low","2","4","81","82","15","12","24","60","81","84","22","74","81","62","75","62","80","82","70","71","64","78","74","73","83","84","83","62","68","75","76","5","7","9","15","13","171833"
"83","193 cm","86 kg","31","Medium / Medium","3","2","63","58","83","84","85","78","84","45","83","56","77","28","65","61","69","66","68","78","51","62","82","86","63","56","66","48","27","53","47","5","5","9","12","12","164468"
"83","182 cm","91 kg","32","Medium / High","4","2","69","57","81","80","85","83","81","28","83","53","80","32","72","74","68","72","73","86","59","58","86","79","64","37","40","34","23","45","34","7","7","16","10","10","163824"
"83","170 cm","70 kg","32","High / Medium","3","3","79","78","81","82","82","74","80","75","80","76","81","88","81","74","76","75","86","69","85","75","72","74","84","70","75","81","82","90","63","13","8","10","15","12","163631"
"83","185 cm","76 kg","30","Medium / Medium","3","1","24","12","14","13","14","33","78","14","20","59","41","18","21","18","62","60","35","62","47","62","60","16","36","12","14","13","15","26","15","80","83","86","80","85","163587"
"82","188 cm","79 kg","28","High / High","3","2","76","74","34","24","48","88","84","86","54","72","79","58","73","59","69","76","91","85","57","66","87","92","78","81","72","73","47","72","79","15","10","6","9","11","217699"
"82","175 cm","75 kg","24","High / Medium","3","4","82","85","33","38","33","71","78","82","29","77","76","72","76","72","94","92","83","72","85","88","75","53","76","81","66","74","64","71","66","7","10","15","10","14","208722"
"82","190 cm","87 kg","23","Medium / Medium","3","1","23","16","13","13","11","18","82","8","13","45","34","14","35","37","51","50","36","55","43","51","74","14","20","18","16","12","14","19","14","79","84","76","75","85","203775"
"82","193 cm","92 kg","25","High / Medium","3","2","71","69","82","81","85","76","74","41","83","59","87","53","74","76","74","76","72","92","51","57","81","76","81","55","64","60","70","62","45","11","13","13","10","11","203376"
"82","196 cm","95 kg","24","Medium / Medium","3","1","26","21","16","11","13","32","73","16","27","31","59","11","36","40","51","45","35","59","55","55","61","12","29","16","13","12","14","42","12","79","81","73","83","85","203042"
"82","175 cm","72 kg","30","High / Low","3","4","83","81","30","25","39","73","84","82","58","81","82","81","77","67","79","76","74","62","81","84","63","45","74","81","80","83","80","74","65","8","10","12","15","8","199561"
"82","185 cm","82 kg","24","Medium / Medium","4","3","80","70","71","68","75","90","83","77","76","86","73","68","85","89","48","54","79","76","62","55","40","62","88","49","85","68","70","59","50","7","7","11","8","13","199503"
"82","188 cm","84 kg","27","High / High","4","2","67","64","80","86","85","87","75","21","82","56","75","59","68","66","61","58","70","85","41","54","82","77","63","33","34","26","18","52","42","10","14","13","14","7","195086"
"82","174 cm","72 kg","27","Medium / High","3","2","79","75","78","82","84","80","81","67","85","72","80","60","80","76","80","77","88","76","83","75","85","69","80","50","67","33","43","54","32","12","8","8","6","13","193474"
"82","169 cm","72 kg","25","High / Medium","4","4","83","84","51","53","52","64","79","77","65","79","79","74","80","75","89","84","78","73","94","87","63","37","84","74","78","82","78","65","76","11","13","12","12","11","193348"
"82","175 cm","67 kg","25","High / Medium","3","3","75","77","81","86","83","76","75","72","77","64","75","80","76","67","86","86","87","71","76","84","67","66","74","54","69","64","39","46","45","15","10","13","11","7","190456"
"82","172 cm","68 kg","25","Medium / Medium","2","3","84","84","61","65","63","83","80","80","61","85","80","73","84","83","78","73","82","66","87","83","67","58","75","64","73","80","72","65","64","9","6","15","15","11","189461"
"82","186 cm","77 kg","27","High / Medium","3","3","82","78","55","57","58","57","77","80","37","84","80","82","83","77","67","69","83","67","62","72","70","60","82","81","83","86","88","80","75","15","13","10","8","12","184484"
"82","192 cm","83 kg","27","Medium / Medium","4","4","85","84","47","30","57","73","73","79","46","80","77","83","79","68","78","78","79","85","57","76","68","72","78","75","71","79","74","78","79","10","14","10","15","15","184200"
"82","182 cm","67 kg","26","High / High","3","3","80","74","73","76","80","80","79","74","79","82","78","81","85","83","76","73","93","76","71","74","81","65","75","67","71","80","74","64","72","9","7","7","13","13","183711"
"81","187 cm","83 kg","27","Medium / High","2","2","61","50","78","81","84","85","72","32","81","49","73","60","75","66","55","68","72","90","55","61","82","71","51","23","38","50","30","40","20","7","14","9","12","8","183285"
"82","177 cm","77 kg","28","High / High","3","3","77","78","83","84","84","78","81","76","77","70","76","81","77","70","79","79","90","73","74","77","72","67","75","65","68","42","35","60","64","13","5","10","15","7","180216"
"82","185 cm","75 kg","27","Medium / High","3","2","79","75","76","80","82","84","81","67","84","73","81","65","83","79","69","66","90","77","71","73","72","71","71","64","56","68","61","56","56","14","6","12","11","7","177358"
"82","182 cm","70 kg","29","High / Medium","4","4","85","84","40","53","55","58","76","80","35","67","74","82","80","77","87","86","76","61","74","83","73","64","77","78","76","77","76","75","76","13","8","14","10","15","172175"
"82","179 cm","67 kg","31","Medium / High","4","3","76","78","73","78","81","87","82","68","86","75","64","68","82","81","77","77","82","73","79","79","72","55","83","70","81","70","71","61","76","13","12","5","11","7","135507"
"82","183 cm","78 kg","35","Medium / Medium","3","1","30","12","10","10","12","36","75","12","21","38","70","10","27","36","39","45","34","71","53","58","80","11","29","12","10","11","12","26","10","84","81","75","78","83","106573"
"82","198 cm","90 kg","32","Low / Medium","3","2","65","39","86","84","87","69","83","43","88","58","87","38","67","58","26","28","61","87","28","29","32","86","71","36","25","39","45","42","30","12","12","5","13","8","53612"
"80","185 cm","78 kg","23","Medium / Low","4","3","77","78","16","22","26","59","79","83","23","63","81","65","64","36","81","84","65","82","78","84","81","73","83","83","76","61","46","67","74","7","9","16","10","15","204529"
"81","180 cm","73 kg","28","High / Medium","3","4","82","81","24","26","24","69","81","81","38","76","76","74","77","70","78","78","74","73","75","74","65","68","83","85","82","83","78","79","79","10","14","8","8","10","199354"
"81","189 cm","76 kg","23","Medium / Medium","5","3","86","85","56","52","60","73","77","71","45","81","80","65","84","78","80","80","74","79","59","70","63","65","80","70","79","68","70","65","61","6","9","12","14","10","199189"
"81","182 cm","77 kg","26","High / High","4","4","85","84","64","70","70","66","76","80","70","82","78","78","83","77","81","81","83","64","75","82","65","60","66","61","72","78","72","72","74","4","4","3","5","8","193061"
"81","182 cm","90 kg","28","Medium / Low","4","3","76","74","25","28","42","70","81","83","38","65","83","45","68","45","69","75","78","94","72","67","86","84","85","83","80","66","58","77","76","7","10","5","8","11","189963"
"81","180 cm","72 kg","26","Medium / High","4","3","77","78","81","78","79","79","75","63","79","72","77","68","82","81","75","69","91","78","71","66","66","63","67","57","65","64","64","60","61","10","12","8","11","13","188253"
"81","190 cm","83 kg","26","Medium / Medium","4","3","80","72","25","18","30","65","71","76","29","73","78","58","72","48","75","79","77","90","48","74","82","86","85","79","76","60","67","77","74","8","14","12","5","5","184111"
"81","180 cm","78 kg","29","Medium / High","3","2","65","60","86","81","82","78","74","50","86","58","76","68","65","65","79","83","75","75","79","81","93","76","70","37","59","68","41","50","65","2","2","4","3","4","182495"
"81","175 cm","74 kg","26","High / High","3","3","84","85","59","64","67","64","82","82","70","76","79","67","82","71","79","85","87","70","80","82","82","74","77","76","71","76","70","74","73","12","16","14","6","6","181291"
"81","185 cm","80 kg","30","Medium / Medium","3","4","76","75","23","21","24","57","77","81","48","71","76","61","75","60","87","86","73","74","65","77","89","80","78","80","77","66","51","78","71","14","9","15","10","12","179527"
"81","191 cm","76 kg","29","Medium / High","3","2","54","42","82","80","83","86","73","31","81","50","62","33","63","69","54","54","79","88","57","62","72","84","44","53","28","34","24","48","35","13","10","7","12","15","169596"
"81","176 cm","68 kg","28","Medium / Medium","3","3","79","81","33","36","39","65","79","81","35","73","78","77","75","65","92","93","75","62","79","83","66","58","76","82","69","76","74","74","72","9","11","9","8","8","164859"
"81","176 cm","72 kg","34","High / Medium","4","3","75","74","84","84","84","75","80","66","79","59","84","74","70","64","75","74","84","81","76","68","84","79","69","40","62","66","47","59","56","9","11","7","9","9","163419"
"81","186 cm","82 kg","31","Medium / Medium","3","3","79","72","36","32","34","78","76","80","32","64","67","53","75","66","64","65","65","88","57","67","79","83","85","81","77","68","69","80","81","7","11","11","6","13","146439"
"81","178 cm","74 kg","32","High / High","3","3","76","73","84","83","84","88","85","71","85","66","70","75","72","64","67","68","82","79","66","71","84","76","66","49","57","68","66","64","53","7","10","15","14","5","142784"
"81","170 cm","70 kg","34","Medium / Low","4","3","77","78","24","11","20","63","80","87","19","67","84","54","68","43","78","77","73","62","88","83","74","68","88","87","81","63","68","71","83","10","7","8","14","13","50542"
"81","187 cm","90 kg","36","Medium / High","4","2","60","45","82","81","82","80","81","38","83","59","82","42","66","62","33","34","63","85","46","44","80","90","61","46","33","44","31","52","55","15","14","6","5","8","13732"
"80","184 cm","76 kg","21","High / Medium","3","3","83","86","26","35","32","58","79","79","32","68","74","72","75","64","92","91","80","63","82","86","66","72","78","75","77","81","62","63","64","9","8","9","12","14","222492"
"80","170 cm","60 kg","23","High / Low","4","5","86","88","44","32","40","47","72","76","19","73","71","70","76","66","86","85","70","40","85","90","34","35","73","75","69","71","72","69","70","14","9","10","16","7","211381"
"81","178 cm","76 kg","30","High / High","3","3","76","75","48","51","52","92","83","83","49","72","78","63","66","48","94","92","90","69","79","77","70","64","85","83","68","59","48","76","75","15","15","7","14","11","208830"
"80","190 cm","85 kg","22","Medium / Medium","3","2","67","48","80","80","83","82","75","53","78","57","74","54","62","56","69","77","72","85","52","48","86","77","56","47","49","59","60","61","47","9","14","7","14","15","204311"
"80","178 cm","74 kg","22","High / Medium","3","3","77","76","75","80","76","72","77","67","76","63","67","74","74","59","96","94","84","61","77","84","65","60","52","52","43","63","50","62","41","13","8","14","14","12","203747"
"80","180 cm","66 kg","24","Medium / Medium","3","4","86","87","36","34","30","68","73","73","23","72","75","78","71","63","89","89","78","72","82","86","50","43","75","74","60","54","51","66","51","11","15","15","10","10","198717"
"80","186 cm","81 kg","25","High / Low","3","3","84","80","18","20","24","57","75","78","18","72","71","70","74","64","79","79","69","76","56","74","76","73","87","81","89","78","82","72","73","5","12","11","11","5","198683"
"80","178 cm","74 kg","25","Medium / High","3","3","78","72","78","80","80","92","77","64","85","70","74","60","78","72","69","70","83","76","85","76","80","60","71","41","57","55","41","52","43","10","9","8","9","15","189271"
"80","187 cm","73 kg","28","Medium / Medium","2","1","22","12","11","13","12","32","80","15","21","39","61","15","25","22","46","50","32","55","41","43","69","13","21","10","14","11","10","24","12","81","78","66","79","81","186148"
"80","185 cm","73 kg","26","High / High","3","3","78","81","23","33","38","77","78","81","22","72","76","69","77","64","87","85","84","78","64","85","80","75","77","77","70","61","62","70","76","12","9","6","10","16","186146"
"80","177 cm","70 kg","27","Medium / Medium","4","3","80","73","70","76","79","74","79","74","76","77","77","64","81","83","68","68","83","74","78","69","56","61","76","61","73","70","69","53","63","9","12","8","6","12","186132"
"80","187 cm","83 kg","31","Medium / High","3","2","74","78","75","82","83","84","79","69","80","76","85","90","73","77","69","66","77","78","58","64","81","79","91","55","80","85","81","74","64","16","16","8","15","6","185103"
"80","178 cm","77 kg","29","Medium / Medium","2","4","80","84","45","55","65","67","73","73","54","78","67","78","79","67","87","85","73","77","79","88","56","68","81","76","72","77","68","77","73","6","11","7","14","13","183108"
"80","179 cm","72 kg","31","High / High","3","2","77","73","79","81","82","74","79","61","82","66","79","78","77","61","75","75","84","65","72","74","75","67","71","39","61","74","59","61","56","3","7","9","5","5","177604"
"80","179 cm","73 kg","30","Medium / High","3","2","74","69","78","79","80","83","78","49","85","69","78","63","77","73","55","53","77","76","73","70","82","65","71","23","35","66","47","61","47","5","10","8","8","6","176266"
"80","179 cm","85 kg","27","High / Medium","3","2","76","74","79","82","82","73","76","63","77","51","75","79","76","70","81","79","82","72","71","76","71","69","59","38","54","74","66","52","43","10","11","15","13","15","169705"
"80","174 cm","71 kg","31","Medium / Medium","4","3","82","71","72","73","75","77","78","70","77","78","76","72","81","78","66","68","77","68","77","72","70","69","78","70","76","77","77","78","73","8","14","16","9","12","167943"
"80","190 cm","83 kg","31","Medium / Medium","2","1","22","14","11","13","12","43","71","15","16","52","63","14","20","32","50","47","25","65","44","52","68","11","14","13","20","18","12","22","17","78","77","70","84","84","164835"
"80","176 cm","70 kg","31","High / High","4","3","78","77","76","79","77","77","84","77","76","78","86","85","85","82","71","69","91","73","73","73","64","69","85","68","79","81","77","83","79","1","1","1","1","1","138412"
"80","183 cm","83 kg","34","Medium / High","3","2","62","49","81","81","84","79","74","51","81","39","78","55","71","66","60","64","74","83","64","51","83","79","69","30","54","55","31","68","44","32","32","38","33","34","53914"
"80","183 cm","79 kg","36","Medium / High","3","2","76","68","79","80","80","80","78","58","82","74","81","80","83","74","32","34","79","77","63","52","70","74","77","56","71","78","78","72","65","7","7","9","13","12","6826"
"79","185 cm","75 kg","21","High / Medium","3","4","76","78","30","18","24","69","76","80","28","71","70","69","75","59","87","85","74","82","62","77","73","73","77","79","69","54","40","65","70","11","15","16","13","15","213135"
"79","184 cm","82 kg","23","Medium / High","4","3","80","76","78","78","80","83","77","73","77","76","74","70","79","78","72","77","86","84","72","75","76","70","78","60","70","68","65","60","61","13","14","8","8","11","208333"
"80","188 cm","75 kg","22","High / Medium","3","2","79","70","80","81","83","73","77","48","77","59","81","62","80","71","75","75","80","78","57","64","72","77","46","29","38","46","29","37","27","10","7","11","15","8","203574"
"79","190 cm","83 kg","28","Medium / Medium","2","2","66","39","82","78","79","78","72","36","82","44","72","23","70","56","54","53","68","79","48","48","76","80","27","26","29","49","42","42","21","14","12","13","12","12","201988"
"79","183 cm","77 kg","26","Medium / Medium","3","4","82","81","33","42","48","63","73","75","32","78","77","74","80","73","76","72","69","59","68","83","70","57","77","76","78","81","77","73","74","7","14","7","15","8","201508"
"79","185 cm","72 kg","26","Low / High","2","2","65","60","80","80","83","78","78","51","79","61","61","67","69","69","68","72","74","77","71","69","75","77","61","51","57","55","46","51","48","15","15","15","6","7","201305"
"79","172 cm","67 kg","25","High / Medium","4","2","76","76","76","79","78","75","76","71","76","65","69","79","75","69","83","83","87","62","83","76","73","65","80","57","78","66","64","60","68","12","11","12","14","11","201118"
"79","181 cm","76 kg","28","Medium / Medium","2","4","85","83","40","26","34","56","80","73","31","84","78","79","81","77","72","70","73","64","77","81","65","63","69","65","66","83","76","80","73","9","11","14","11","16","199434"
"79","175 cm","70 kg","23","High / Medium","4","4","82","85","39","42","46","66","75","74","43","72","68","73","77","73","89","89","75","70","88","84","65","39","77","68","75","67","53","69","59","9","16","6","9","9","198784"
"79","186 cm","77 kg","24","High / Medium","3","3","80","81","71","73","77","73","75","75","78","76","84","55","83","76","79","75","82","77","74","75","72","62","79","51","77","65","38","29","28","14","6","12","11","7","197681"
"79","182 cm","76 kg","26","High / Medium","4","3","80","80","26","30","49","74","79","78","61","79","72","82","81","69","74","77","72","68","67","80","44","52","81","80","84","80","83","75","65","11","6","11","7","6","194845"
"79","188 cm","81 kg","26","High / High","3","3","78","78","74","76","77","70","82","70","70","65","72","78","74","72","76","82","90","78","58","69","68","70","76","60","74","63","71","64","50","9","9","13","7","12","192638"
"79","187 cm","82 kg","27","Medium / High","3","2","74","65","77","76","86","85","74","46","80","62","66","58","78","70","66","77","81","93","57","60","62","55","73","46","63","36","32","54","31","15","11","13","7","10","188879"
"79","179 cm","70 kg","27","High / Medium","2","3","75","74","78","80","79","72","81","65","79","69","77","76","74","65","79","83","77","69","74","73","70","68","72","47","65","64","52","63","47","9","6","8","11","15","186115"
"79","183 cm","76 kg","29","Medium / High","2","2","72","62","78","82","80","87","79","59","83","62","76","60","75","73","66","68","84","81","57","74","72","70","76","54","68","65","53","54","41","1","1","1","1","1","184134"
"79","183 cm","80 kg","28","Medium / Medium","3","1","32","12","10","12","13","20","70","16","25","40","29","11","36","32","34","34","29","38","50","44","75","15","35","10","12","10","13","26","12","77","83","78","71","84","176550"
"79","193 cm","87 kg","29","Medium / Medium","2","1","24","14","13","16","14","34","75","16","21","40","66","11","39","34","55","59","31","72","42","28","69","16","45","11","16","16","12","41","16","73","80","65","74","84","173426"
"79","195 cm","90 kg","32","Medium / Medium","3","2","77","67","15","15","25","71","80","85","25","70","84","44","71","49","52","57","63","91","33","40","56","90","79","78","64","57","40","70","80","4","2","3","2","2","162131"
"79","177 cm","76 kg","31","High / Medium","3","3","74","72","78","78","79","80","72","64","75","64","76","79","75","73","75","72","83","71","74","76","81","74","74","59","68","74","61","66","62","15","8","7","9","10","158626"
"79","180 cm","76 kg","30","Medium / Medium","4","4","82","81","36","54","62","52","75","73","54","78","78","78","81","74","78","77","71","59","79","77","75","46","75","71","76","79","75","70","72","12","14","10","7","8","158372"
"79","195 cm","78 kg","30","Low / Medium","3","2","66","38","80","78","80","73","77","36","80","55","80","30","63","65","49","54","74","82","56","50","72","85","52","40","32","30","29","30","29","7","6","15","10","9","157665"
"79","176 cm","65 kg","31","Medium / Medium","4","2","76","71","76","79","81","55","72","66","76","59","73","75","64","69","80","83","82","66","75","77","70","70","52","34","43","64","38","45","59","11","10","9","11","6","152554"
"79","170 cm","60 kg","31","Medium / Medium","3","3","80","82","27","26","20","50","77","74","33","74","70","77","76","74","89","88","79","34","87","87","62","47","75","61","70","80","46","56","75","7","10","15","10","13","146536"
"78","175 cm","67 kg","19","High / High","4","5","83","85","20","19","17","56","82","79","32","72","84","66","74","66","88","85","84","61","91","92","63","61","73","80","72","76","54","73","67","6","13","6","8","15","230666"
"79","188 cm","82 kg","24","Medium / Medium","3","2","65","59","80","78","81","64","70","23","81","52","75","51","73","70","72","67","79","84","59","46","80","81","54","41","43","32","25","48","30","14","16","8","7","11","207599"
"78","184 cm","75 kg","22","High / Medium","4","4","82","84","16","20","24","50","70","82","30","68","68","67","72","57","85","92","75","73","69","85","69","64","84","70","74","68","66","70","72","4","4","4","6","4","204077"
"78","185 cm","80 kg","25","Medium / High","3","2","64","53","78","78","82","86","70","42","76","35","66","71","69","69","58","63","73","85","64","53","58","73","56","40","40","30","38","38","34","15","11","7","9","6","199550"
"78","169 cm","66 kg","25","Medium / High","4","2","80","70","64","61","73","85","79","65","80","83","71","70","81","78","68","65","76","69","90","75","56","27","77","34","71","80","70","64","73","10","11","14","11","7","199422"
"78","188 cm","84 kg","27","High / Medium","2","2","74","66","31","22","37","67","78","83","47","61","78","56","59","46","66","74","74","81","55","65","82","81","83","82","71","59","43","77","72","9","9","7","11","13","195671"
"78","191 cm","82 kg","24","Medium / Low","4","2","80","69","14","24","32","61","78","83","23","65","70","51","66","44","58","67","60","89","41","61","56","77","81","78","73","68","46","72","80","9","6","10","9","13","194996"
"78","185 cm","84 kg","27","High / High","4","5","83","87","27","17","34","76","74","69","31","63","69","75","71","67","89","89","80","82","76","84","60","51","81","64","71","62","49","65","51","14","8","12","9","6","189157"
"78","185 cm","79 kg","29","Medium / Medium","3","3","70","65","42","21","29","70","76","78","51","60","73","62","67","31","88","87","79","78","68","75","91","87","80","80","64","32","36","75","71","1","1","1","1","1","187084"
"78","169 cm","64 kg","27","High / High","4","4","80","83","24","20","38","40","70","73","25","73","81","74","74","70","91","90","79","68","85","84","69","50","76","65","68","76","64","68","64","15","11","12","11","12","186805"
"78","192 cm","84 kg","27","Medium / High","3","2","63","40","80","75","80","82","64","33","74","49","73","51","75","62","61","66","63","87","44","55","76","78","56","39","42","51","42","52","44","9","11","12","15","12","186521"
"78","168 cm","62 kg","27","Medium / Medium","3","3","77","77","60","66","74","70","82","69","76","72","84","68","84","75","67","63","86","56","91","79","78","44","63","62","60","58","50","52","38","6","10","12","13","8","184716"
"78","174 cm","60 kg","27","High / High","3","3","79","83","63","71","73","82","72","71","75","72","76","69","80","76","79","77","89","64","86","89","72","53","80","63","73","72","48","65","59","11","10","14","9","6","183427"
"78","183 cm","90 kg","28","High / Medium","3","3","75","65","33","25","29","80","74","77","29","67","78","55","73","60","69","69","79","92","74","65","86","82","86","80","78","68","36","80","74","12","10","16","11","15","183125"
"78","186 cm","75 kg","28","Medium / Medium","4","3","81","77","55","71","70","66","67","75","54","82","84","74","86","81","64","68","72","72","59","70","70","71","83","73","73","76","77","76","55","9","14","7","9","10","180283"
