"ID","pac","sho","pas","dri","def","phy"
"193747","72","75","86","82","65","76"
"193301","86","83","71","85","38","77"
"193041","89","78","72","88","53","80"
"192883","86","79","80","87","54","70"
"192593","84","79","79","87","53","85"
"192563","85","84","74","83","49","85"
"192448","84","83","87","86","45","81"
"190547","56","32","44","53","86","84"
"189332","93","69","75","82","81","72"
"186942","71","74","83","87","64","71"
"184432","79","55","75","74","86","78"
"183898","86","77","82","86","47","68"
"180206","74","71","86","86","67","69"
"173210","78","72","83","84","76","74"
"172871","67","65","73","70","85","81"
"170890","78","67","77","75","83","84"
"167628","82","84","77","87","48","85"
"164169","79","62","77","77","82","79"
"139720","63","54","65","64","84","83"
"137186","71","34","57","64","88","73"
"225508","78","42","59","65","84","84"
"220834","82","82","83","83","39","61"
"218667","81","72","81","90","45","61"
"212218","69","50","66","61","86","78"
"211117","76","81","77","82","64","78"
"208722","93","78","75","85","36","75"
"204963","82","45","73","79","83","79"
"202166","78","80","82","86","34","64"
"201399","78","83","61","75","26","70"
"201024","73","26","43","56","85","86"
"200316","83","81","83","86","48","82"
"192774","80","19","42","60","86","83"
"192227","67","57","63","62","83","79"
"191740","73","72","81","83","78","77"
"191202","64","70","77","72","80","87"
"189712","67","74","82","78","78","82"
"189505","82","77","77","85","37","62"
"189117","84","83","73","85","48","79"
"184120","41","72","79","75","78","77"
"181458","84","80","78","82","42","75"
"180930","64","83","70","74","32","72"
"180403","88","76","81","86","49","64"
"179846","64","74","80","76","80","84"
"179783","83","86","52","87","43","85"
"178750","86","83","76","85","56","82"
"178088","67","76","84","84","32","55"
"177509","74","42","54","64","85","82"
"167397","69","84","68","78","37","74"
"165229","75","41","62","65","85","78"
"164468","63","58","52","61","84","78"
"146530","82","68","81","85","77","66"
"143076","90","77","80","89","31","58"
"106231","70","83","65","77","46","80"
"231747","90","80","74","85","47","74"
"231443","91","76","75","89","33","56"
"220971","73","71","77","89","62","70"
"216460","70","45","51","52","84","81"
"215316","85","79","75","86","51","82"
"213565","85","78","80","86","62","70"
"212814","73","70","80","83","70","71"
"212190","65","41","51","49","83","81"
"210257","81","76","82","87","63","78"
"209658","85","74","80","80","78","76"
"209499","74","65","76","76","83","83"
"209331","93","73","74","87","45","66"
"208596","82","81","57","78","29","84"
"208448","75","74","83","83","30","66"
"207865","71","38","68","69","84","76"
"207566","53","57","77","74","80","83"
"205600","74","64","71","71","82","79"
"204485","82","74","78","88","28","55"
"203376","73","60","67","69","83","85"
"201942","77","81","79","85","46","77"
"200888","68","62","69","74","82","87"
"199715","80","77","79","83","28","76"
"199482","86","79","73","85","62","79"
"198176","68","41","58","65","85","76"
"198009","80","85","71","90","56","78"
"197061","67","46","68","66","84","78"
"193474","76","60","70","77","83","81"
"192629","81","83","73","85","29","63"
"192387","83","84","61","79","38","76"
"192366","63","56","59","54","83","81"
"191180","71","75","83","85","58","64"
"189513","52","77","87","78","61","69"
"189358","70","68","76","87","34","49"
"189125","78","77","82","83","67","73"
"189068","60","83","57","64","43","83"
"188377","90","63","73","76","80","81"
"188152","74","75","79","82","43","47"
"187936","57","67","73","71","80","88"
"186547","70","51","67","58","84","78"
"185239","76","39","62","67","85","75"
"185020","90","78","71","83","35","65"
"184826","65","76","82","81","78","72"
"184431","84","81","79","87","27","57"
"184144","81","74","81","85","39","55"
"181783","72","78","71","74","65","87"
"180819","73","75","80","84","65","74"
"179784","64","47","63","64","83","77"
"178562","69","70","85","84","62","67"
"178005","85","81","80","82","55","79"
"177683","81","82","83","83","51","80"
"177388","74","78","85","87","37","69"
"177358","68","62","76","77","79","81"
"176769","65","85","75","84","35","65"
"173771","79","69","76","74","81","80"
"170481","43","64","66","64","84","80"
"167905","87","66","75","81","78","85"
"163587","83","82","82","86","61","80"
"162240","76","72","77","85","75","84"
"161956","70","69","85","86","63","65"
"159147","68","65","69","67","86","80"
"158963","69","63","81","80","75","75"
"146748","77","84","76","80","44","83"
"146562","65","76","85","85","61","63"
"142754","65","53","71","68","82","77"
"139869","69","78","86","82","38","57"
"139068","81","79","81","86","24","64"
"53302","68","64","73","70","81","82"
"24630","80","83","82","82","57","82"
"20775","83","76","81","88","18","60"
"20289","63","82","80","76","70","83"
"5479","86","74","58","85","58","80"
"230621","88","78","72","88","50","78"
"222492","94","77","72","86","35","70"
"219809","73","49","70","77","81","83"
"219683","74","76","78","78","76","83"
"216594","80","78","77","87","31","75"
"216451","80","71","82","81","72","74"
"215785","92","76","72","86","29","70"
"213331","72","27","58","58","82","78"
"212404","84","76","77","86","34","65"
"212188","92","79","65","81","28","65"
"211575","68","71","78","78","71","81"
"211300","90","79","71","86","41","74"
"208808","89","81","76","83","29","67"
"208618","83","73","81","82","43","67"
"208421","73","69","78","81","77","75"
"207863","68","41","59","61","83","81"
"207664","77","79","64","79","24","70"
"207471","64","77","80","83","43","76"
"207410","81","69","82","85","61","71"
"206652","79","80","78","83","52","82"
"206545","73","74","80","81","65","69"
"205452","74","40","64","63","82","79"
"204970","82","76","78","84","36","63"
"204639","63","35","52","56","83","74"
"204525","71","56","63","61","82","79"
"204277","77","61","76","77","73","80"
"203551","85","79","78","82","76","76"
"203483","73","80","74","74","67","79"
"202857","92","77","74","85","33","68"
"202652","93","71","74","85","46","61"
"202651","82","75","81","87","23","51"
"202477","93","70","75","88","26","61"
"202335","72","63","71","65","81","85"
"201862","71","59","69","68","81","83"
"200949","93","74","75","86","45","62"
"200104","86","83","75","83","25","66"
"199845","62","50","58","58","85","77"
"199503","50","66","79","72","72","78"
"198164","81","75","81","86","53","68"
"197965","79","77","81","83","61","69"
"195093","67","82","65","76","37","77"
"194794","81","78","81","83","37","78"
"193698","82","82","64","84","49","81"
"193532","74","48","68","70","81","81"
"193469","58","42","64","60","83","81"
"193348","83","77","78","85","46","65"
"193082","91","74","75","87","61","65"
"190483","92","77","77","85","32","64"
"190456","83","61","71","77","80","76"
"189560","50","73","73","68","83","83"
"188942","64","66","70","74","82","91"
"188803","92","79","75","86","47","63"
"187754","83","76","78","87","48","66"
"187072","71","84","79","79","65","74"
"186627","80","83","70","79","26","77"
"186561","68","75","79","81","65","75"
"186153","83","77","74","87","49","78"
"184484","66","81","84","79","52","70"
"184267","80","73","77","89","33","56"
"184200","77","74","79","81","53","81"
"183711","72","70","83","76","76","81"
"183574","71","84","82","82","39","69"
"183497","80","83","70","84","39","80"
"183376","53","57","66","68","81","85"
"182494","81","75","75","85","61","83"
"181786","58","51","67","66","82","83"
"181291","81","75","76","84","66","74"
"179847","30","41","54","54","84","81"
"178509","53","81","70","73","38","83"
"178372","62","61","68","61","82","83"
"178224","79","80","66","78","31","59"
"177600","58","75","84","75","66","74"
"177457","68","64","73","72","82","79"
"177413","71","74","77","82","73","80"
"176600","87","82","75","78","35","68"
"174543","80","80","87","81","56","77"
"172723","81","81","73","82","55","79"
"171919","69","69","63","61","84","73"
"171833","76","82","69","79","25","68"
"169595","81","63","73","78","81","78"
"169416","84","79","77","82","25","66"
"168354","81","84","79","83","32","78"
"167431","71","72","83","81","72","68"
"165239","78","76","81","84","38","59"
"163824","65","43","56","61","81","81"
"163631","70","71","80","79","80","71"
"163489","82","83","72","84","40","81"
"162347","69","75","81","81","70","72"
"158121","82","80","78","84","51","82"
"157481","57","41","57","59","84","76"
"150724","81","78","75","83","60","80"
"150418","72","82","62","73","28","78"
"146760","82","58","75","77","78","77"
"144622","72","79","80","86","41","67"
"143745","71","73","81","84","61","72"
"135507","73","73","76","78","77","78"
"113422","69","83","74","82","31","69"
"108080","77","59","73","76","80","77"
"104389","78","81","72","85","43","87"
"231677","92","77","73","83","38","74"
"230666","87","79","71","87","26","67"
"227928","92","57","68","80","76","71"
"227055","94","70","73","86","44","60"
"222737","83","76","78","84","26","63"
"222028","70","50","76","76","76","68"
"220793","71","47","50","59","81","83"
"217699","69","77","67","72","47","85"
"216354","73","81","70","84","26","71"
"216352","73","73","79","81","68","69"
"216201","93","78","73","79","34","79"
"216194","48","58","74","71","73","80"
"213661","72","31","62","69","84","72"
"212622","70","67","82","80","77","73"
"211368","93","71","73","86","34","65"
"210935","85","80","76","84","30","72"
"210008","70","72","78","78","73","77"
"209889","77","75","81","84","74","63"
"208830","91","79","63","77","51","78"
"208670","76","74","86","78","52","64"
"207599","72","49","64","68","82","82"
"205498","75","64","81","80","70","68"
"203747","95","51","69","78","75","70"
"203042","81","83","72","85","41","78"
"202685","79","80","59","77","38","83"
"202371","76","74","75","77","79","84"
"201995","92","75","77","86","53","62"
"201400","74","77","79","85","62","64"
"200724","76","37","65","63","81","78"
"199987","79","83","74","77","52","81"
"199564","77","64","80","76","79","72"
"199451","83","79","75","85","34","63"
"199354","81","82","76","80","31","71"
"199189","77","73","77","82","55","77"
"198951","87","78","72","80","35","74"
"198717","90","71","71","86","33","72"
"198141","77","52","70","73","82","71"
"197853","84","66","73","77","78","84"
"197655","58","40","53","60","81","86"
"197242","65","58","72","66","79","86"
"195365","80","68","77","84","58","62"
"195086","56","40","59","63","81","82"
"193738","75","77","79","84","56","70"
"193525","84","62","73","76","80","77"
"193352","74","67","80","76","77","72"
"193165","83","72","74","88","40","51"
"192789","81","70","70","73","80","81"
"192638","77","69","77","77","77","80"
"192318","68","72","81","88","38","62"
"190941","79","77","73","85","41","79"
"190584","60","66","77","79","77","70"
"190149","86","62","73","78","74","79"
"189881","72","46","56","59","81","83"
"189461","71","69","80","82","62","72"
"189251","71","67","80","80","74","67"
"188988","82","71","78","86","28","55"
"188943","80","76","77","84","49","83"
"188388","76","78","83","81","33","62"
"188005","61","60","71","69","80","81"
"187961","76","74","74","77","77","76"
"185431","73","79","64","75","35","76"
"184942","81","76","77","82","45","73"
"183900","81","71","78","85","32","59"
"183498","71","76","76","76","77","81"
"183483","58","81","64","72","19","83"
"183285","61","33","62","56","80","85"
"183280","53","54","48","58","81","82"
"181820","77","81","75","84","34","67"
"180216","73","66","72","78","80","77"
"179645","64","55","64","53","81","81"
"178086","80","83","72","82","55","81"
"177326","80","75","79","83","29","49"
"173426","80","76","65","84","56","78"
"173198","68","36","53","60","84","77"
"172175","83","77","77","83","46","65"
"171897","76","64","80","82","66","68"
"171579","57","77","81","76","68","76"
"166706","61","38","51","52","82","81"
"163705","86","78","75","83","48","77"
"163264","80","79","76","83","54","80"
"161648","76","77","77","86","35","69"
"158625","45","52","67","63","82","74"
"153244","72","83","72","73","39","82"
"146954","64","73","79","76","75","73"
"142780","68","47","61","65","83","76"
"139997","73","75","85","75","78","74"
"121944","39","75","81","73","74","75"
"116494","78","79","81","81","40","79"
"110677","85","78","82","79","39","81"
"54050","68","81","81","76","52","81"
"53612","27","41","55","47","85","70"
"49370","32","64","76","67","76","82"
"49369","76","78","71","79","25","69"
"9676","74","83","74","79","37","71"
"223848","71","71","73","79","73","83"
"216393","53","79","80","77","68","71"
"215792","63","35","51","59","81","75"
"214997","82","80","66","86","49","59"
"213296","67","71","77","81","70","72"
"212831","75","76","70","86","39","78"
"212462","83","62","77","78","75","74"
"212194","81","73","76","84","26","61"
"211748","68","73","79","82","53","71"
"211320","61","39","53","64","83","75"
"210896","76","75","80","80","74","77"
"210617","86","67","79","82","37","48"
"210406","83","69","79","83","62","60"
"210243","88","62","77","81","77","70"
"210035","86","60","72","82","75","72"
"209297","82","70","76","82","71","63"
"208334","77","60","76","75","79","77"
"208333","71","67","77","77","78","84"
"208093","82","78","65","76","45","65"
"207993","78","53","61","64","78","89"
"207439","72","67","81","79","70","73"
"206585","78","81","75","83","33","76"
"206467","82","80","75","77","41","76"
"206413","67","61","72","69","79","80"
"206273","88","73","76","82","47","68"
"205976","79","77","69","80","28","64"
"205362","70","31","58","50","82","75"
"205192","79","74","81","84","51","58"
"204529","79","80","59","77","27","74"
"204082","74","39","57","63","81","77"
"203890","83","55","73","75","78","78"
"203888","34","36","48","49","82","83"
"203775","84","74","74","85","50","76"
"203486","81","79","80","85","37","64"
"203280","78","80","75","79","31","68"
"201510","77","69","77","78","77","75"
"201454","80","64","72","75","76","78"
"200647","70","82","80","81","35","64"
"200610","77","81","78","79","39","82"
"199914","77","64","75","78","79","81"
"199827","71","71","75","78","64","79"
"199434","70","67","80","83","37","63"
"199110","89","77","68","85","25","72"
"198950","76","73","80","83","30","53"
"198784","88","70","74","84","52","71"
"198118","70","59","66","67","81","81"
"196934","75","74","83","80","59","69"
"195861","72","68","76","72","81","78"
"194957","61","56","65","62","80","80"
"194879","66","77","69","75","42","80"
"194404","84","80","74","83","51","74"
"194229","74","40","70","74","77","76"
"193886","77","81","76","81","52","72"
"193361","77","77","80","81","63","73"
"193130","83","82","74","80","38","70"
"193116","66","61","69","69","80","81"
"193105","82","78","70","84","53","75"
"193061","78","68","80","81","66","68"
"192641","76","57","69","67","79","80"
"192492","80","73","76","83","32","50"
"192086","84","77","71","81","44","72"
"191687","63","55","65","54","81","83"
"190972","87","74","74","80","44","70"
"190815","60","56","79","76","80","76"
"190813","87","75","70","84","31","58"
"190717","85","74","70","81","52","82"
"190264","79","72","78","84","35","57"
"189574","59","64","75","70","79","73"
"189250","75","77","56","74","31","80"
"189156","57","53","68","63","80","78"
"188802","80","51","69","66","79","79"
"188253","70","60","75","74","77","81"
"187735","77","74","78","78","71","70"
"187688","35","75","85","81","38","63"
"187491","87","80","70","76","32","73"
"186146","84","74","71","79","37","78"
"185221","64","59","68","69","80","80"
"185132","43","70","70","70","79","78"
"184392","77","58","69","75","80","73"
"184190","54","34","58","47","80","76"
"184111","73","78","65","73","33","80"
"183909","88","72","77","84","39","56"
"182002","51","50","59","68","80","81"
"178416","89","76","76","81","32","71"
"178311","85","80","73","83","25","63"
"177644","75","83","80","77","41","82"
"177604","76","53","72","75","80","74"
"177458","70","51","61","60","82","80"
"176915","69","70","77","79","68","75"
"176733","75","79","63","74","29","71"
"176376","77","81","73","85","52","74"
"176104","75","73","80","82","49","72"
"175379","67","76","83","82","40","62"
"173909","73","77","77","79","67","78"
"173521","68","45","59","59","81","78"
"173432","66","49","65","62","81","75"
"173373","78","76","81","82","45","78"
"173221","78","80","77","81","56","71"
"173208","77","61","75","72","78","79"
"172522","75","73","80","79","66","71"
"170370","66","68","82","81","59","67"
"170368","76","77","79","82","45","67"
"169705","79","53","71","77","79","75"
"169195","67","73","80","82","66","70"
"168530","60","42","52","51","81","82"
"167553","83","51","67","71","79","79"
"167514","76","67","71","76","80","76"
"165536","42","31","56","56","81","78"
"165526","51","33","42","54","83","82"
"164859","91","75","72","80","38","66"
"164835","77","84","70","84","48","78"
"163155","79","79","73","84","49","77"
"162369","53","80","68","72","31","76"
"162329","65","62","74","76","72","78"
"158232","68","78","73","85","33","62"
"157960","79","76","79","83","66","71"
"156713","48","58","59","55","82","78"
"150516","78","84","75","77","39","74"
"146460","56","60","72","67","78","78"
"143587","70","75","81","79","59","69"
"140293","82","80","64","82","43","78"
"139968","76","78","73","86","51","77"
"139668","80","78","66","84","52","78"
"138449","62","76","79","78","30","58"
"138412","67","74","82","77","76","78"
"134744","69","65","75","75","77","79"
"124635","68","66","67","73","82","80"
"112316","72","62","67","60","81","83"
"111661","84","82","74","80","45","76"
"53914","50","46","58","55","82","78"
"50542","74","85","61","79","25","65"
"48717","83","77","62","81","41","77"
"21146","44","65","81","72","75","66"
"230977","89","74","75","81","56","61"
"230142","73","73","76","80","33","57"
"227476","85","76","59","75","43","85"
"225647","82","75","72","82","44","78"
"225018","78","78","62","75","45","80"
"224334","84","72","78","80","57","76"
"221660","70","48","62","61","79","79"
"221130","78","75","75","82","46","80"
"220440","73","34","55","64","78","77"
"218339","73","65","77","81","62","67"
"216150","82","66","70","75","75","76"
"215466","65","28","47","54","82","79"
"215259","86","73","76","79","43","61"
"215057","49","58","70","68","76","80"
"213345","92","75","72","82","19","58"
"213150","78","79","73","81","48","76"
"212886","79","75","77","80","73","81"
"212602","61","40","62","61","80","72"
"212523","75","82","78","77","59","71"
"212501","68","71","76","69","77","83"
"212150","72","62","77","84","35","53"
"211688","86","58","75","77","75","68"
"211381","82","71","73","86","36","43"
"211354","68","70","76","77","72","77"
"211256","88","55","66","76","78","72"
"210864","81","51","66","73","77","75"
"210514","92","65","75","80","73","71"
"210413","66","34","52","63","81","76"
"208777","71","68","78","84","58","52"
"208128","69","80","81","78","41","56"
"207948","88","69","72","85","37","67"
"207441","75","78","72","85","36","62"
"206511","67","80","74","77","66","69"
"206113","90","76","71","83","43","67"
"205988","82","51","71","77","76","76"
"205923","76","56","72","74","78","76"
"205678","89","79","71","82","37","58"
"205525","89","70","75","84","40","45"
"205407","70","73","79","80","63","70"
"205175","73","83","62","72","37","71"
"205069","79","60","74","84","76","66"
"204638","54","34","52","58","79","78"
"204523","67","68","78","79","61","60"
"204311","67","50","58","55","79","83"
"204024","53","47","69","73","76","76"
"203757","81","74","59","78","28","78"
"203574","71","35","67","71","80","77"
"202642","73","65","75","67","77","75"
"202556","88","77","72","82","30","77"
"201988","48","28","51","50","81","76"
"201956","65","48","62","66","78","81"
"201858","83","80","73","83","35","67"
"201533","89","74","73","83","26","72"
"201377","75","40","56","63","80","78"
"201305","67","49","65","63","81","76"
"201262","69","74","79","81","63","62"
"201118","82","67","72","76","76","72"
"201049","74","31","44","59","82","75"
"201046","75","67","79","81","33","66"
"201042","80","67","74","75","76","79"
"200641","86","76","76","82","30","58"
"200458","80","61","75","75","75","75"
"200454","73","78","62","76","30","63"
"199977","46","62","74","71","75","71"
"199952","73","75","78","82","44","48"
"199852","77","78","71","76","37","77"
"199602","67","81","65","76","30","75"
"199576","57","39","65","64","78","85"
"199561","72","78","76","80","39","67"
"199550","57","42","59","57","79","81"
"198683","74","81","71","78","25","70"
"198077","87","75","74","81","35","59"
"197948","49","57","59","60","78","85"
"195363","65","53","63","59","78","82"
"194911","81","76","69","83","45","75"
"194174","79","69","78","81","43","64"
"193887","82","74","73","80","29","72"
"193171","84","59","71","74","76","72"
"192679","75","56","73","71","76","73"
"192565","76","71","78","82","34","59"
"191210","77","65","75","76","77","72"
"190875","69","73","74","76","77","89"
"190778","80","76","77","82","50","78"
"190544","80","74","76","85","32","62"
"190286","63","71","80","78","26","50"
"190243","82","75","73","82","44","79"
"190223","75","49","71","71","78","77"
"189963","66","80","59","72","39","81"
"189575","81","70","73","84","43","51"
"189433","55","31","51","59","82","73"
"189271","66","52","67","75","78","80"
"189169","75","79","58","72","31","80"
"188955","76","78","69","78","30","73"
"188524","80","77","68","80","56","81"
"188428","91","77","67","77","39","73"
"187457","73","71","78","77","75","76"
"187347","87","61","74","73","75","75"
"187324","69","47","54","54","79","79"
"186307","72","78","77","82","36","68"
"186148","74","80","70","81","48","77"
"186132","68","67","76","77","74","77"
"185103","66","69","78","75","79","78"
"184949","82","64","75","75","73","75"
"184881","86","71","72","83","32","61"
"184477","62","42","49","48","78","83"
"184069","60","80","50","66","30","83"
"183899","85","71","76","81","42","56"
"183893","43","59","66","69","78","75"
"183855","70","40","58","60","81","76"
"183666","80","72","76","82","47","78"
"183108","81","75","76","82","57","72"
"181402","70","57","69","72","75","82"
"180334","66","48","57","61","79","82"
"178424","80","69","74","75","76","74"
"177723","78","80","79","79","61","77"
"177578","37","36","50","40","80","81"
"177519","66","41","64","66","79","69"
"177159","87","67","76","78","70","70"
"176993","76","72","76","78","25","47"
"176944","52","72","70","73","76","89"
"176731","56","67","67","67","80","85"
"176571","75","74","75","79","56","77"
"176550","83","71","78","84","34","77"
"176285","69","52","49","50","80","81"
"176266","45","39","69","71","78","74"
"173474","78","74","80","81","67","74"
"173306","80","59","75","79","76","76"
"172962","83","71","72","82","70","74"
"172316","75","63","70","74","79","73"
"172290","68","72","76","78","71","72"
"172114","62","81","79","77","36","65"
"171791","43","35","52","60","79","77"
"170797","54","67","83","80","72","68"
"170733","92","69","70","81","28","63"
"169596","49","44","52","50","80","84"
"169588","65","32","59","52","80","74"
"168435","79","76","73","80","51","77"
"168320","77","78","70","75","31","74"
"167943","63","73","78","75","73","71"
"166072","51","39","49","52","84","69"
"165501","38","60","70","65","79","69"
"165109","72","64","65","68","84","74"
"160741","80","56","61","52","79","77"
"159240","67","75","82","78","64","66"
"159171","70","76","80","81","29","56"
"159145","68","80","65","72","41","71"
"156519","74","70","71","74","73","79"
"148711","33","50","55","51","80","77"
"148122","52","39","67","46","82","75"
"148119","77","72","78","83","50","82"
"147782","66","65","73","75","77","73"
"147621","80","74","79","76","50","72"
"146482","48","75","84","75","46","58"
"146439","63","80","66","71","39","79"
"142902","75","75","82","82","44","81"
"142784","61","56","70","73","81","78"
"140233","76","69","78","87","49","78"
"139062","80","76","73","81","46","78"
"137809","74","79","63","78","34","75"
"137677","78","76","72","82","55","75"
"137351","56","55","79","77","74","70"
"135451","81","75","60","85","51","77"
"121933","78","77","70","80","41","80"
"52091","69","51","71","75","79","72"
"49031","80","80","65","80","37","82"
"45186","68","74","81","82","38","56"
"8473","73","70","79","82","43","63"
"6826","32","65","79","68","78","76"
"80","47","73","85","76","62","69"
"229909","78","73","65","85","56","77"
"228941","81","74","62","77","44","78"
"228687","76","79","61","77","26","69"
"227950","68","49","57","62","77","75"
"227796","91","68","70","84","33","56"
"227234","69","55","68","71","76","84"
"226753","83","77","84","77","63","70"
"225199","76","65","76","79","73","72"
"225028","50","68","67","70","76","74"
"223874","61","70","74","80","73","59"
"223627","73","79","68","73","40","79"
"223061","89","68","70","83","44","54"
"223033","68","30","51","53","80","71"
"222943","84","72","76","77","46","66"
"222558","87","63","72","74","73","78"
"222509","68","61","76","81","70","64"
"221992","93","72","71","81","34","61"
"221540","50","55","56","56","77","83"
"221087","76","77","75","77","49","79"
"219985","68","67","74","74","71","77"
"219932","80","75","68","81","25","66"
"219576","66","71","70","75","77","84"
"219411","93","73","67","82","27","62"
"217877","83","70","73","81","27","51"
"216778","72","52","51","64","78","82"
"216547","92","66","71","83","35","45"
"216497","80","78","70","81","33","64"
"216475","88","75","71","80","51","60"
"216189","86","63","69","76","72","84"
"216065","80","76","68","81","43","77"
"215353","72","76","59","75","30","78"
"215333","73","77","52","72","27","78"
"215061","81","79","65","74","31","72"
"215051","66","51","50","63","78","79"
"214977","71","49","69","72","77","77"
"213582","62","81","80","83","34","68"
"213400","88","64","73","77","50","69"
"213135","83","76","68","75","31","77"
"212977","77","54","66","67","79","77"
"212911","91","69","70","80","22","59"
"212230","79","75","78","82","29","56"
"212198","78","73","78","80","63","70"
"212153","70","64","73","75","75","74"
"211119","87","73","73","80","31","57"
"210930","70","69","78","80","39","55"
"210679","68","35","50","61","79","79"
"210333","88","72","72","78","39","62"
"210282","91","67","71","80","73","75"
"209997","57","27","61","64","79","75"
"209989","77","63","69","75","75","81"
"209307","83","69","62","82","58","77"
"208574","88","68","72","81","32","72"
"208450","77","71","77","82","62","69"
"208230","60","65","69","70","78","84"
"208135","66","71","73","76","74","81"
"207939","60","62","71","69","74","84"
"207877","89","74","63","82","26","73"
"207862","64","59","71","64","78","75"
"207494","83","74","72","81","51","67"
"206591","84","62","75","84","72","70"
"206225","80","74","75","79","56","67"
"206222","72","52","60","55","78","76"
"206198","62","30","64","52","79","77"
"205633","78","67","78","80","65","68"
"205569","66","66","84","75","61","67"
"205114","83","69","73","86","37","58"
"204923","83","78","71","78","32","76"
"204884","82","48","70","75","74","79"
"204838","76","76","69","74","39","80"
"204819","62","77","64","73","47","83"
"204240","77","76","74","81","43","77"
"204077","89","75","69","82","26","67"
"203980","75","74","76","79","38","65"
"203895","59","67","76","79","50","57"
"203627","90","74","75","79","56","51"
"203605","81","58","72","74","73","78"
"203535","73","68","76","78","68","80"
"203362","85","71","76","80","39","65"
"203106","84","65","75","82","53","62"
"202849","46","49","59","49","79","81"
"202648","55","63","76","78","64","66"
"202325","60","38","74","75","70","76"
"201878","72","77","79","78","38","65"
"201508","71","75","76","80","39","62"
"201505","60","66","66","66","78","81"
"201455","71","68","71","77","75","81"
"201325","76","75","74","79","48","79"
"201144","59","63","77","73","75","74"
"201143","68","46","73","69","78","72"
"201119","82","66","71","74","74","76"
"201095","73","75","74","81","51","80"
"201013","70","77","63","68","26","80"
"200798","80","73","66","81","37","77"
"200726","78","74","79","80","42","76"
"200529","76","77","75","78","45","76"
"200318","75","80","69","76","33","67"
"200215","68","62","70","73","77","80"
"199767","71","76","75","75","65","77"
"199626","71","72","75","78","69","68"
"199304","78","70","71","74","76","79"
"199069","80","75","69","78","27","80"
"199042","75","71","80","77","61","70"
"198706","68","73","78","78","27","55"
"198614","53","45","59","46","79","70"
"198584","69","56","52","63","76","88"
"198329","91","75","70","79","33","68"
"198140","77","76","68","75","50","79"
"197225","71","70","78","79","43","69"
"197083","78","72","74","80","53","69"
"196889","88","66","76","85","35","55"
"196432","70","70","75","74","75","80"
"196150","65","78","74","79","26","74"
"195671","65","79","56","68","40","76"
"194996","62","78","59","71","29","75"
"194932","85","75","73","80","33","63"
"194845","76","79","76","79","43","68"
"193601","47","51","46","53","78","75"
"193584","73","78","65","73","29","83"
"193283","73","72","75","74","74","81"
"192991","73","78","66","75","30","77"
"192984","80","69","74","82","45","75"
"192841","78","70","76","82","62","62"
"192722","78","78","77","79","43","65"
"192620","46","51","73","52","79","69"
"192557","77","55","77","75","74","71"
"192476","31","48","67","61","79","67"
"191032","84","69","75","83","36","73"
"190799","61","77","73","72","76","74"
